Zi,Banca (RON),Stake (RON),Tip pariu,Banca estimata castig (RON),Result,Value bet (RON)
1,1000,250.0,,1062.5,,
2,1062.5,265.62,,1128.9,,
3,1128.9,282.23,,1199.46,,
4,1199.46,299.87,,1274.43,,
5,1274.43,318.61,,1354.08,,
6,1354.08,338.52,,1438.71,,
7,1438.71,359.68,,1528.63,,
8,1528.63,382.16,,1624.17,,
9,1624.17,406.04,,1725.68,,
10,1725.68,431.42,,1833.54,,
11,1833.54,458.38,,1948.13,,
12,1948.13,487.03,,2069.89,,
13,2069.89,517.47,,2199.26,,
14,2199.26,549.82,,2336.72,,
15,2336.72,584.18,,2482.76,,
16,2482.76,620.69,,2637.93,,
17,2637.93,659.48,,2802.8,,
18,2802.8,700.7,,2977.98,,
19,2977.98,744.5,,3164.11,,
20,3164.11,791.03,,3361.87,,
21,3361.87,840.47,,3571.99,,
22,3571.99,893.0,,3795.24,,
23,3795.24,948.81,,4032.44,,
24,4032.44,1008.11,,4284.47,,
25,4284.47,1071.12,,4552.25,,
26,4552.25,1138.06,,4836.77,,
27,4836.77,1209.19,,5139.07,,
28,5139.07,1284.77,,5460.26,,
29,5460.26,1365.07,,5801.53,,
30,5801.53,1450.38,,6164.12,,
31,6164.12,1541.03,,6549.38,,
32,6549.38,1637.35,,6958.72,,
33,6958.72,1739.68,,7393.64,,
34,7393.64,1848.41,,7855.74,,
35,7855.74,1963.93,,8346.72,,
36,8346.72,2086.68,,8868.39,,
37,8868.39,2217.1,,9422.66,,
38,9422.66,2355.66,,10011.58,,
39,10011.58,2502.89,,10637.3,,
40,10637.3,2659.32,,11302.13,,
41,11302.13,2825.53,,12008.51,,
42,12008.51,3002.13,,12759.04,,
43,12759.04,3189.76,,13556.48,,
44,13556.48,3389.12,,14403.76,,
45,14403.76,3600.94,,15304.0,,
46,15304.0,3826.0,,16260.5,,
47,16260.5,4065.12,,17276.78,,
48,17276.78,4319.19,,18356.58,,
49,18356.58,4589.15,,19503.87,,
50,19503.87,4875.97,,20722.86,,
51,20722.86,5180.72,,22018.04,,
52,22018.04,5504.51,,23394.17,,
53,23394.17,5848.54,,24856.3,,
54,24856.3,6214.07,,26409.82,,
55,26409.82,6602.45,,28060.43,,
56,28060.43,7015.11,,29814.21,,
57,29814.21,7453.55,,31677.6,,
58,31677.6,7919.4,,33657.45,,
59,33657.45,8414.36,,35761.04,,
60,35761.04,8940.26,,37996.11,,
61,37996.11,9499.03,,40370.87,,
62,40370.87,10092.72,,42894.05,,
63,42894.05,10723.51,,45574.93,,
64,45574.93,11393.73,,48423.36,,
65,48423.36,12105.84,,51449.82,,
66,51449.82,12862.45,,54665.43,,
67,54665.43,13666.36,,58082.02,,
68,58082.02,14520.5,,61712.14,,
69,61712.14,15428.03,,65569.15,,
70,65569.15,16392.29,,69667.22,,
71,69667.22,17416.81,,74021.42,,
72,74021.42,18505.35,,78647.76,,
73,78647.76,19661.94,,83563.24,,
74,83563.24,20890.81,,88785.94,,
75,88785.94,22196.49,,94335.06,,
76,94335.06,23583.76,,100231.0,,
77,100231.0,25057.75,,106495.44,,
78,106495.44,26623.86,,113151.4,,
79,113151.4,28287.85,,120223.36,,
80,120223.36,30055.84,,127737.32,,
81,127737.32,31934.33,,135720.9,,
82,135720.9,33930.22,,144203.45,,
83,144203.45,36050.86,,153216.17,,
84,153216.17,38304.04,,162792.18,,
85,162792.18,40698.04,,172966.69,,
86,172966.69,43241.67,,183777.11,,
87,183777.11,45944.28,,195263.18,,
88,195263.18,48815.79,,207467.13,,
89,207467.13,51866.78,,220433.83,,
90,220433.83,55108.46,,234210.94,,
91,234210.94,58552.74,,248849.12,,
92,248849.12,62212.28,,264402.19,,
93,264402.19,66100.55,,280927.33,,
94,280927.33,70231.83,,298485.29,,
95,298485.29,74621.32,,317140.62,,
96,317140.62,79285.15,,336961.91,,
97,336961.91,84240.48,,358022.03,,
98,358022.03,89505.51,,380398.41,,
99,380398.41,95099.6,,404173.31,,
100,404173.31,101043.33,,429434.14,,
101,429434.14,107358.54,,456273.78,,
102,456273.78,114068.45,,484790.89,,
103,484790.89,121197.72,,515090.32,,
104,515090.32,128772.58,,547283.46,,
105,547283.46,136820.86,,581488.67,,
106,581488.67,145372.17,,617831.71,,
107,617831.71,154457.93,,656446.19,,
108,656446.19,164111.55,,697474.08,,
109,697474.08,174368.52,,741066.21,,
110,741066.21,185266.55,,787382.85,,
111,787382.85,196845.71,,836594.28,,
112,836594.28,209148.57,,888881.42,,
113,888881.42,222220.36,,944436.51,,
114,944436.51,236109.13,,1003463.79,,
115,1003463.79,250865.95,,1066180.28,,
116,1066180.28,266545.07,,1132816.55,,
117,1132816.55,283204.14,,1203617.58,,
118,1203617.58,300904.4,,1278843.68,,
119,1278843.68,319710.92,,1358771.41,,
120,1358771.41,339692.85,,1443694.62,,
121,1443694.62,360923.66,,1533925.54,,
122,1533925.54,383481.39,,1629795.89,,
123,1629795.89,407448.97,,1731658.13,,
124,1731658.13,432914.53,,1839886.76,,
125,1839886.76,459971.69,,1954879.68,,
126,1954879.68,488719.92,,2077059.66,,
127,2077059.66,519264.91,,2206875.89,,
128,2206875.89,551718.97,,2344805.63,,
129,2344805.63,586201.41,,2491355.98,,
130,2491355.98,622838.99,,2647065.73,,
131,2647065.73,661766.43,,2812507.34,,
132,2812507.34,703126.83,,2988289.05,,
133,2988289.05,747072.26,,3175057.11,,
134,3175057.11,793764.28,,3373498.18,,
135,3373498.18,843374.55,,3584341.82,,
136,3584341.82,896085.45,,3808363.18,,
137,3808363.18,952090.8,,4046385.88,,
138,4046385.88,1011596.47,,4299285.0,,
139,4299285.0,1074821.25,,4567990.31,,
140,4567990.31,1141997.58,,4853489.71,,
141,4853489.71,1213372.43,,5156832.82,,
142,5156832.82,1289208.21,,5479134.87,,
143,5479134.87,1369783.72,,5821580.8,,
144,5821580.8,1455395.2,,6185429.6,,
145,6185429.6,1546357.4,,6572018.95,,
146,6572018.95,1643004.74,,6982770.13,,
147,6982770.13,1745692.53,,7419193.26,,
148,7419193.26,1854798.31,,7882892.84,,
149,7882892.84,1970723.21,,8375573.64,,
150,8375573.64,2093893.41,,8899046.99,,
151,8899046.99,2224761.75,,9455237.43,,
152,9455237.43,2363809.36,,10046189.77,,
153,10046189.77,2511547.44,,10674076.63,,
154,10674076.63,2668519.16,,11341206.42,,
155,11341206.42,2835301.6,,12050031.82,,
156,12050031.82,3012507.96,TARGET REACHED,12803158.81,,
