event_id,source,match_date,surface,tourney_name,round,winner_name,loser_name,score,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
UVFjp6SQ,flashscore,2026-04-08,Clay,Linz,R32,Anastasia Potapova,Shuai Zhang,6-4 6-4,7,3,82,50,34,17,10,8,9,3,2,77,53,33,11,10,10,13
bqcSOxk5,flashscore,2026-04-08,Clay,Linz,R32,Anhelina Kalinina,Panna Udvardy,5-7 6-1 6-0,3,0,63,50,33,10,12,0,2,3,2,85,61,33,10,13,7,14
x4oWPJUj,flashscore,2026-04-08,Clay,Linz,R16,Jelena Ostapenko,Alexandra Eala,6-4 7-5,6,11,73,39,26,13,11,5,9,2,5,69,37,21,13,11,3,9
GC15nK2e,flashscore,2026-04-08,Clay,Linz,R16,Elena Gabriela Ruse,Dayana Yastremska,4-6 6-4 6-4,3,7,95,55,36,21,15,10,14,3,8,98,59,36,18,15,3,8
KpvU6IJj,flashscore,2026-04-07,Clay,Linz,R32,Karolina Pliskova,Aliaksandra Sasnovich,6-4 6-4,16,4,69,50,34,7,10,5,8,3,7,63,39,26,7,10,5,10
x47kQpye,flashscore,2026-04-07,Clay,Linz,R32,Alexandra Eala,Julia Grabher,4-6 3-6,0,3,83,50,34,19,10,9,10,3,3,58,32,22,13,9,4,7
pUAcOO57,flashscore,2026-04-07,Clay,Linz,R32,Lilli Tagger,Paula Badosa,4-6 6-7,2,2,77,60,38,8,11,7,11,2,5,87,51,29,17,11,6,11
K4UNSatA,flashscore,2026-04-07,Clay,Linz,R32,Donna Vekic,Katie Volynets,3-6 6-3 4-6,6,6,94,62,48,11,14,5,8,0,2,90,71,46,8,14,10,14
p4sCTbQk,flashscore,2026-04-07,Clay,Linz,R32,Sorana Cirstea,Sinja Kraus,3-6 3-6,2,1,49,28,22,13,9,2,3,1,3,73,35,20,20,9,6,10
CvRFULBc,flashscore,2026-04-07,Clay,Linz,R32,Tamara Korpatsch,Jaqueline Cristian,6-4 1-6 4-6,4,2,83,58,40,14,14,4,7,1,2,73,49,33,10,13,3,8
niK3ZlE8,flashscore,2026-04-07,Clay,Linz,R32,Dayana Yastremska,Ann Li,7-5 4-6 6-3,0,4,107,74,49,17,16,7,11,6,4,83,47,32,16,15,3,8
hUpKRxe2,flashscore,2026-04-06,Clay,Linz,R32,Elena Gabriela Ruse,Katie Boulter,6-7 6-7,6,4,89,49,33,19,12,2,6,5,6,90,50,30,19,12,3,7
dIHrnScE,flashscore,2026-04-06,Clay,Linz,R32,Sloane Stephens,Tatjana Maria,1-6 7-6 6-4,1,3,117,68,46,23,14,12,15,8,4,110,64,44,25,15,7,9
Y7IBXSrL,flashscore,2026-04-06,Clay,Linz,R32,Dalma Galfi,Alycia Parks,3-6 3-6,4,6,80,56,42,9,9,6,6,3,3,62,35,22,15,9,3,6
IqUhrgGM,flashscore,2026-04-06,Clay,Linz,F,Donna Vekic,Iryna Shymanovich,6-4 6-7 4-6,2,5,101,62,42,17,16,4,9,3,1,104,50,33,29,16,7,12
fParAHNM,flashscore,2026-04-06,Clay,Linz,F,Aliaksandra Sasnovich,Anhelina Kalinina,6-3 6-2,5,4,51,36,24,8,9,0,2,3,3,54,34,16,9,8,4,9
