event_id,match_date,player_a,player_b,short_a,short_b,winner_side,winner_name,loser_name,score,round,sets_a,sets_b,set1_games,tournament,surface,slug
4Q2Kb2nQ,2026-01-10,Joanna Garland,Polina Kudermetova,Garland J.,Kudermetova P.,A,Joanna Garland,Polina Kudermetova,6-4 6-2,F,"[6, 6]","[4, 2]",10,Canberra,Hard,canberra
bkieOiVi,2026-01-09,Polina Kudermetova,Himeno Sakatsume,Kudermetova P.,Sakatsume H.,A,Polina Kudermetova,Himeno Sakatsume,7-5 6-2,SF,"[7, 6]","[5, 2]",12,Canberra,Hard,canberra
dA0UrPBr,2026-01-09,Daria Snigur,Joanna Garland,Snigur D.,Garland J.,B,Joanna Garland,Daria Snigur,6-7 3-6,SF,"[6, 3]","[7, 6]",13,Canberra,Hard,canberra
x2y1nQuC,2026-01-08,Himeno Sakatsume,Ekaterine Gorgodze,Sakatsume H.,Gorgodze E.,A,Himeno Sakatsume,Ekaterine Gorgodze,3-6 6-2 6-0,QF,"[3, 6, 6]","[6, 2, 0]",9,Canberra,Hard,canberra
zL9UmIaJ,2026-01-08,Yue 1998 Yuan,Polina Kudermetova,Yuan Y.,Kudermetova P.,B,Polina Kudermetova,Yue 1998 Yuan,1-6 0-6,QF,"[1, 0]","[6, 6]",7,Canberra,Hard,canberra
0GCajMqo,2026-01-08,Tamara Zidansek,Joanna Garland,Zidansek T.,Garland J.,B,Joanna Garland,Tamara Zidansek,2-6 4-6,QF,"[2, 4]","[6, 6]",8,Canberra,Hard,canberra
KflutuQ8,2026-01-08,Simona Waltert,Daria Snigur,Waltert S.,Snigur D.,B,Daria Snigur,Simona Waltert,2-6 4-6,QF,"[2, 4]","[6, 6]",8,Canberra,Hard,canberra
jHZITG1K,2026-01-07,Yue 1998 Yuan,Tatiana Prozorova,Yuan Y.,Prozorova T.,A,Yue 1998 Yuan,Tatiana Prozorova,6-4 6-3,R16,"[6, 6]","[4, 3]",10,Canberra,Hard,canberra
hnHpEG0s,2026-01-07,Mayar Sherif,Himeno Sakatsume,Sherif M.,Sakatsume H.,B,Himeno Sakatsume,Mayar Sherif,3-6 6-3 3-6,R16,"[3, 6, 3]","[6, 3, 6]",9,Canberra,Hard,canberra
ht4HwoXj,2026-01-07,Tamara Zidansek,Lanlana Tararudee,Zidansek T.,Tararudee L.,A,Tamara Zidansek,Lanlana Tararudee,7-6 2-6 6-3,R16,"[7, 2, 6]","[6, 6, 3]",13,Canberra,Hard,canberra
