match_date,league,home_team,away_team,home_goals,away_goals,season_code,source
2022-07-08,RS1,fk vozdovac,novi pazar,1,0,2022/23,api_football
2022-07-09,RS1,cukaricki,tsc backa topola,1,4,2022/23,api_football
2022-07-09,RS1,javor,fk partizan,0,4,2022/23,api_football
2022-07-09,RS1,mladost lucani,fk spartak zdrepceva krv,1,1,2022/23,api_football
2022-07-10,RS1,fk crvena zvezda,radnicki nis,4,0,2022/23,api_football
2022-07-10,RS1,radnik surdulica,mladost novi sad,1,2,2022/23,api_football
2022-07-10,RS1,vojvodina,napredak,1,0,2022/23,api_football
2022-07-11,RS1,kolubara,radnicki 1923,1,1,2022/23,api_football
2022-07-15,RO1,afc hermannstadt,cs mioveni,3,0,2022/23,api_football
2022-07-15,RO1,universitatea craiova,sepsi osk sfantu gheorghe,2,2,2022/23,api_football
2022-07-15,RS1,fk spartak zdrepceva krv,radnik surdulica,2,0,2022/23,api_football
2022-07-15,RS1,novi pazar,cukaricki,1,2,2022/23,api_football
2022-07-15,RS1,radnicki nis,fk partizan,3,3,2022/23,api_football
2022-07-16,RO1,arges pitesti,uta arad,2,0,2022/23,api_football
2022-07-16,RO1,cfr 1907 cluj,rapid,1,0,2022/23,api_football
2022-07-16,RS1,fk crvena zvezda,kolubara,5,0,2022/23,api_football
2022-07-16,RS1,mladost novi sad,vojvodina,0,4,2022/23,api_football
2022-07-16,RS1,tsc backa topola,javor,0,0,2022/23,api_football
2022-07-17,RO1,farul constanta,u craiova 1948,2,1,2022/23,api_football
2022-07-17,RO1,fcsb,universitatea cluj,1,1,2022/23,api_football
2022-07-17,RS1,napredak,fk vozdovac,0,0,2022/23,api_football
2022-07-17,RS1,radnicki 1923,mladost lucani,1,0,2022/23,api_football
2022-07-18,RO1,fc botosani,chindia targoviste,3,2,2022/23,api_football
2022-07-18,RO1,petrolul ploiesti,fc voluntari,0,1,2022/23,api_football
2022-07-22,RO1,cs mioveni,farul constanta,0,2,2022/23,api_football
2022-07-22,RS1,javor,novi pazar,2,1,2022/23,api_football
2022-07-23,RO1,fc voluntari,fc botosani,0,1,2022/23,api_football
