source,league,match_date,home_team,away_team,home_goals,away_goals,odds_1x,odds_x2,season_code
transfermarkt,E1,2021-08-06,bournemouth,west brom,2,2,,,2021/22
transfermarkt,F1,2021-08-06,monaco,fc nantes,1,1,,,2021/22
transfermarkt,P1,2021-08-06,sporting,vizela,3,0,,,2021/22
transfermarkt,E1,2021-08-07,blackburn,swansea,2,1,,,2021/22
transfermarkt,E1,2021-08-07,bristol city,blackpool,1,1,,,2021/22
transfermarkt,E1,2021-08-07,cardiff,barnsley,1,1,,,2021/22
transfermarkt,E1,2021-08-07,derby,huddersfield,1,1,,,2021/22
transfermarkt,E1,2021-08-07,luton,peterborough,3,0,,,2021/22
transfermarkt,E1,2021-08-07,preston,hull city,1,4,,,2021/22
transfermarkt,E1,2021-08-07,qpr,millwall,1,1,,,2021/22
transfermarkt,E1,2021-08-07,sheff utd,birmingham,0,1,,,2021/22
transfermarkt,E1,2021-08-07,stoke city,reading,3,2,,,2021/22
transfermarkt,F1,2021-08-07,lyon,stade brestois,1,1,,,2021/22
transfermarkt,F1,2021-08-07,troyes,psg,1,2,,,2021/22
transfermarkt,P1,2021-08-07,arouca,estoril,0,2,,,2021/22
transfermarkt,P1,2021-08-07,marítimo,braga,0,2,,,2021/22
transfermarkt,P1,2021-08-07,moreirense,benfica,1,2,,,2021/22
transfermarkt,E1,2021-08-08,coventry,nott'm forest,2,1,,,2021/22
transfermarkt,E1,2021-08-08,fulham,middlesbrough,1,1,,,2021/22
transfermarkt,F1,2021-08-08,fc metz,lille,3,3,,,2021/22
transfermarkt,F1,2021-08-08,g. bordeaux,clermont foot,0,2,,,2021/22
transfermarkt,F1,2021-08-08,montpellier,marseille,2,3,,,2021/22
transfermarkt,F1,2021-08-08,nice,stade reims,0,0,,,2021/22
transfermarkt,F1,2021-08-08,r. strasbourg,angers sco,0,2,,,2021/22
transfermarkt,F1,2021-08-08,saint-étienne,fc lorient,1,1,,,2021/22
transfermarkt,F1,2021-08-08,stade rennais,lens,1,1,,,2021/22
transfermarkt,P1,2021-08-08,paços ferreira,famalicão,2,0,,,2021/22
transfermarkt,P1,2021-08-08,porto,b sad,2,0,,,2021/22
transfermarkt,P1,2021-08-08,tondela,santa clara,3,0,,,2021/22
transfermarkt,P1,2021-08-08,vit. guimarães,portimonense,0,1,,,2021/22
transfermarkt,P1,2021-08-09,gil vicente,boavista,3,0,,,2021/22
transfermarkt,D1,2021-08-13,mönchengladbach,bayern munich,1,1,,,2021/22
transfermarkt,E0,2021-08-13,brentford,arsenal,2,0,,,2021/22
transfermarkt,F1,2021-08-13,fc lorient,monaco,1,0,,,2021/22
transfermarkt,N1,2021-08-13,go ahead eagles,heerenveen,0,1,,,2021/22
transfermarkt,P1,2021-08-13,estoril,vit. guimarães,0,0,,,2021/22
transfermarkt,SP1,2021-08-13,valencia,getafe,1,0,,,2021/22
transfermarkt,D1,2021-08-14,arm. bielefeld,freiburg,0,0,,,2021/22
transfermarkt,D1,2021-08-14,augsburg,hoffenheim,0,4,,,2021/22
transfermarkt,D1,2021-08-14,dortmund,frankfurt,5,2,,,2021/22
transfermarkt,D1,2021-08-14,stuttgart,greuther fürth,5,1,,,2021/22
transfermarkt,D1,2021-08-14,union berlin,leverkusen,1,1,,,2021/22
transfermarkt,D1,2021-08-14,wolfsburg,vfl bochum,1,0,,,2021/22
transfermarkt,E0,2021-08-14,burnley,brighton,1,2,,,2021/22
transfermarkt,E0,2021-08-14,chelsea,crystal palace,3,0,,,2021/22
transfermarkt,E0,2021-08-14,everton,southampton,3,1,,,2021/22
transfermarkt,E0,2021-08-14,leicester,wolves,1,0,,,2021/22
transfermarkt,E0,2021-08-14,man utd,leeds,5,1,,,2021/22
transfermarkt,E0,2021-08-14,norwich,liverpool,0,3,,,2021/22
transfermarkt,E0,2021-08-14,watford,aston villa,3,2,,,2021/22
transfermarkt,E1,2021-08-14,barnsley,coventry,1,0,,,2021/22
transfermarkt,E1,2021-08-14,birmingham,stoke city,0,0,,,2021/22
transfermarkt,E1,2021-08-14,blackpool,cardiff,0,2,,,2021/22
transfermarkt,E1,2021-08-14,huddersfield,fulham,1,5,,,2021/22
transfermarkt,E1,2021-08-14,hull city,qpr,0,3,,,2021/22
transfermarkt,E1,2021-08-14,middlesbrough,bristol city,2,1,,,2021/22
transfermarkt,E1,2021-08-14,millwall,blackburn,1,1,,,2021/22
transfermarkt,E1,2021-08-14,nott'm forest,bournemouth,1,2,,,2021/22
transfermarkt,E1,2021-08-14,peterborough,derby,2,1,,,2021/22
transfermarkt,E1,2021-08-14,reading,preston,2,1,,,2021/22
transfermarkt,E1,2021-08-14,swansea,sheff utd,0,0,,,2021/22
transfermarkt,E1,2021-08-14,west brom,luton,3,2,,,2021/22
transfermarkt,F1,2021-08-14,lille,nice,0,4,,,2021/22
transfermarkt,F1,2021-08-14,psg,r. strasbourg,4,2,,,2021/22
transfermarkt,N1,2021-08-14,ajax,nec nijmegen,5,0,,,2021/22
transfermarkt,N1,2021-08-14,fortuna sittard,fc twente,2,1,,,2021/22
transfermarkt,N1,2021-08-14,heracles almelo,psv,0,2,,,2021/22
transfermarkt,N1,2021-08-14,rkc waalwijk,az alkmaar,1,0,,,2021/22
transfermarkt,P1,2021-08-14,benfica,arouca,2,0,,,2021/22
transfermarkt,P1,2021-08-14,braga,sporting,1,2,,,2021/22
transfermarkt,P1,2021-08-14,vizela,tondela,2,1,,,2021/22
transfermarkt,SP1,2021-08-14,alavés,real madrid,1,4,,,2021/22
transfermarkt,SP1,2021-08-14,ca osasuna,espanyol,0,0,,,2021/22
transfermarkt,SP1,2021-08-14,cádiz cf,levante,1,1,,,2021/22
transfermarkt,SP1,2021-08-14,rcd mallorca,real betis,1,1,,,2021/22
transfermarkt,D1,2021-08-15,1.fc köln,hertha bsc,3,1,,,2021/22
