tourney_id,tourney_name,surface,tourney_level,tourney_date,match_date,round,best_of,minutes,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,total_games,w_sets,l_sets,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,w_1stServeIn_pct,w_1stServeWon_pct,w_2ndServeWon_pct,w_aceRate,w_bpSaved_pct,w_returnPtsWon_pct,w_bpConverted_pct,l_1stServeIn_pct,l_1stServeWon_pct,l_2ndServeWon_pct,l_aceRate,l_bpSaved_pct,l_returnPtsWon_pct,l_bpConverted_pct
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R64,3.0,,201520.0,Petra Kvitova,L,183.0,CZE,24.8,4.0,6360.0,201621.0,Mona Barthel,R,185.0,GER,24.5,43.0,1193.0,6-2 6-4,18.0,2.0,0.0,10.0,7.0,68.0,44.0,33.0,12.0,9.0,5.0,5.0,4.0,4.0,49.0,24.0,17.0,13.0,9.0,4.0,7.0,0.6470588235294118,0.75,0.5,1.1111111111111112,1.0,0.3877551020408163,0.4285714285714285,0.4897959183673469,0.7083333333333334,0.52,0.4444444444444444,0.5714285714285714,0.3382352941176471,0.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,QF,3.0,,201345.0,Maria Sharapova,R,188.0,RUS,27.7,2.0,7335.0,202446.0,Eugenie Bouchard,R,178.0,CAN,20.8,7.0,4715.0,6-3 6-2,17.0,2.0,0.0,2.0,4.0,50.0,32.0,27.0,9.0,8.0,2.0,2.0,0.0,2.0,62.0,41.0,26.0,6.0,9.0,4.0,8.0,0.64,0.84375,0.5,0.25,1.0,0.4838709677419355,0.5,0.6612903225806451,0.6341463414634146,0.2857142857142857,0.0,0.5,0.28,0.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R64,3.0,,201518.0,Yanina Wickmayer,R,182.0,BEL,25.2,80.0,679.0,202418.0,Lara Arruabarrena,R,166.0,ESP,22.8,91.0,625.0,6-4 4-6 6-4,30.0,2.0,1.0,10.0,8.0,105.0,66.0,47.0,19.0,15.0,7.0,10.0,1.0,9.0,106.0,53.0,38.0,24.0,15.0,10.0,14.0,0.6285714285714286,0.7121212121212122,0.4871794871794871,0.6666666666666666,0.7,0.4150943396226415,0.2857142857142857,0.5,0.7169811320754716,0.4528301886792453,0.0666666666666666,0.7142857142857143,0.3714285714285714,0.3
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R32,3.0,,201518.0,Yanina Wickmayer,R,182.0,BEL,25.2,80.0,679.0,201506.0,Sara Errani,R,164.0,ITA,27.7,14.0,2735.0,4-6 6-4 6-3,29.0,2.0,1.0,2.0,1.0,101.0,72.0,44.0,14.0,15.0,5.0,9.0,0.0,4.0,96.0,84.0,50.0,4.0,14.0,6.0,11.0,0.7128712871287128,0.6111111111111112,0.4827586206896552,0.1333333333333333,0.5555555555555556,0.4375,0.4545454545454545,0.875,0.5952380952380952,0.3333333333333333,0.0,0.5454545454545454,0.4257425742574257,0.4444444444444444
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201490.0,Timea Bacsinszky,R,170.0,SUI,25.6,41.0,1214.0,201347.0,Jelena Jankovic,R,177.0,SRB,29.8,15.0,2590.0,6-1 6-4,17.0,2.0,0.0,0.0,2.0,48.0,31.0,23.0,11.0,9.0,1.0,2.0,2.0,9.0,64.0,29.0,18.0,14.0,8.0,9.0,13.0,0.6458333333333334,0.7419354838709677,0.6470588235294118,0.0,0.5,0.5,0.3076923076923077,0.453125,0.6206896551724138,0.4,0.25,0.6923076923076923,0.2916666666666667,0.5
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201366.0,Barbora Strycova,R,164.0,CZE,28.8,23.0,1870.0,201693.0,Timea Babos,R,179.0,HUN,21.6,92.0,618.0,6-4 6-4,20.0,2.0,0.0,3.0,2.0,69.0,47.0,33.0,11.0,10.0,4.0,5.0,2.0,3.0,63.0,41.0,29.0,8.0,10.0,8.0,11.0,0.6811594202898551,0.7021276595744681,0.5,0.3,0.8,0.4126984126984127,0.2727272727272727,0.6507936507936508,0.7073170731707317,0.3636363636363636,0.2,0.7272727272727273,0.3623188405797101,0.2
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,202702.0,Tereza Smitkova,R,176.0,CZE,20.2,68.0,811.0,200002.0,Mirjana Lucic,R,181.0,CRO,32.8,57.0,909.0,6-1 6-1,14.0,2.0,0.0,6.0,0.0,37.0,28.0,23.0,6.0,7.0,1.0,1.0,3.0,9.0,53.0,28.0,15.0,8.0,7.0,4.0,9.0,0.7567567567567568,0.8214285714285714,0.6666666666666666,0.8571428571428571,1.0,0.5660377358490566,0.5555555555555556,0.5283018867924528,0.5357142857142857,0.32,0.4285714285714285,0.4444444444444444,0.2162162162162162,0.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201458.0,Victoria Azarenka,R,180.0,BLR,25.4,44.0,1188.0,201585.0,Sloane Stephens,R,170.0,USA,21.8,32.0,1401.0,6-3 6-2,17.0,2.0,0.0,0.0,3.0,43.0,26.0,21.0,8.0,8.0,0.0,1.0,1.0,2.0,63.0,37.0,21.0,11.0,9.0,6.0,11.0,0.6046511627906976,0.8076923076923077,0.4705882352941176,0.0,0.0,0.492063492063492,0.4545454545454545,0.5873015873015873,0.5675675675675675,0.4230769230769231,0.1111111111111111,0.5454545454545454,0.3255813953488372,1.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201496.0,Caroline Wozniacki,R,177.0,DEN,24.5,8.0,4625.0,203501.0,Taylor Townsend,L,170.0,USA,18.7,99.0,597.0,7-6(1) 6-2,8.0,1.0,0.0,2.0,0.0,71.0,53.0,38.0,10.0,11.0,7.0,8.0,2.0,2.0,63.0,43.0,25.0,11.0,10.0,3.0,6.0,0.7464788732394366,0.7169811320754716,0.5555555555555556,0.1818181818181818,0.875,0.4285714285714285,0.5,0.6825396825396826,0.5813953488372093,0.55,0.2,0.5,0.323943661971831,0.125
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201520.0,Petra Kvitova,L,183.0,CZE,24.8,4.0,6360.0,202480.0,Richel Hogenkamp,R,168.0,NED,22.7,138.0,408.0,6-1 6-4,17.0,2.0,0.0,7.0,4.0,48.0,29.0,24.0,11.0,9.0,0.0,1.0,0.0,2.0,53.0,32.0,19.0,8.0,8.0,4.0,8.0,0.6041666666666666,0.8275862068965517,0.5789473684210527,0.7777777777777778,0.0,0.490566037735849,0.5,0.6037735849056604,0.59375,0.3809523809523809,0.0,0.5,0.2708333333333333,1.0
