league,method,a,b,n_train
DK1,platt,1.655161864260507,0.16423949231268775,343
SW1,platt,2.118874163526524,-0.15851610350961115,349
B2,platt,2.3709809240677004,-0.1398868389900266,231
B1,platt,1.3500894658758373,0.27433448212678163,242
RO1,platt,2.013411677213475,0.03294427533064095,280
SA1,platt,1.8198875983424299,0.20401940247162018,230
N1,platt,2.7156182625237864,-0.32585735581707426,237
D1,platt,2.5596902769444116,-0.1319379443032052,291
D2,platt,0.4424172402223203,1.161089116223728,205
P1,platt,1.2038901264893993,0.3297405150722584,267
RS1,platt,3.0318059421185235,-0.2802856900294905,310
I2,platt,1.999501815668581,0.31627708292105644,119
F1,platt,2.063573633219354,0.13428456234944244,260
TR2,platt,3.257523423883713,-0.04040691159364478,120
E1,platt,5.814639086926403,-1.526036447310319,69
E0,platt,1.975637391080468,0.05066621709467782,215
I1,platt,2.7065318718974356,-0.25399587555312064,218
SP2,platt,1.5318669034559942,0.3339550397705118,88
SP1,platt,2.1524123419678305,0.07675880603473496,204
TR1,platt,2.231204742777912,-0.10162943800661543,182
__GLOBAL__,platt,1.846202677036666,0.14443526936198714,4460
