league,team,h_for,h_against,a_for,a_against,n_home,n_away
b1,anderlecht,2.6666666666666665,2.5,1.25,2.875,6,8
b1,antwerp,2.2857142857142856,1.1428571428571428,3.25,1.875,7,8
b1,beerschot va,2.0,1.0,2.0,1.0,2,2
b1,cercle brugge ksv,2.8333333333333335,2.1666666666666665,3.2,2.2,6,5
b1,charleroi,2.125,2.875,2.625,2.375,8,8
b1,club brugge kv,4.0,1.0,2.8333333333333335,3.5,7,6
b1,dender,2.3333333333333335,1.6666666666666667,1.6666666666666667,3.3333333333333335,6,6
b1,genk,3.6666666666666665,2.3333333333333335,1.3333333333333333,2.5,9,6
b1,gent,3.1666666666666665,2.3333333333333335,2.2857142857142856,3.2857142857142856,6,7
b1,kv mechelen,2.3333333333333335,3.1666666666666665,1.875,3.0,6,8
b1,leuven,3.5,3.8333333333333335,2.625,2.25,6,8
b1,lommel sk,2.0,2.3333333333333335,0.5,4.5,3,2
b1,patro eisden,1.0,0.0,1.5,0.0,1,2
b1,raal la louviere,3.1666666666666665,2.0,1.6,3.2,6,5
b1,rfc liege,5.0,0.0,2.0,0.0,1,1
b1,royale union sg,2.2857142857142856,2.2857142857142856,2.3333333333333335,2.3333333333333335,7,6
b1,st. liege,1.8333333333333333,3.0,1.4444444444444444,4.333333333333333,6,9
b1,st. truiden,3.0,2.5,2.5,2.1666666666666665,6,6
b1,waregem,2.5,1.3333333333333333,2.4,2.2,6,5
b1,westerlo,2.4444444444444446,2.111111111111111,3.0,3.1666666666666665,9,6
b2,anderlecht u23,2.7142857142857144,2.5714285714285716,2.8333333333333335,2.3333333333333335,7,6
b2,beerschot va,3.1666666666666665,0.6666666666666666,3.0,1.0,6,6
b2,beveren,2.5,1.1666666666666667,2.2857142857142856,2.5714285714285716,6,7
b2,club brugge kv u23,1.1666666666666667,2.3333333333333335,2.0,3.1666666666666665,6,6
b2,eupen,2.142857142857143,2.142857142857143,1.6,2.8,7,5
b2,francs borains,2.6666666666666665,2.6666666666666665,1.4285714285714286,3.142857142857143,6,7
b2,genk u23,2.142857142857143,2.0,3.0,1.0,7,6
