bucket,mean_pred,mean_obs,count,calibration_gap
0.0-0.1,,,0,
0.1-0.2,,,0,
0.2-0.3,,,0,
0.3-0.4,0.35548153404911215,1.0,1,-0.6445184659508878
0.4-0.5,0.4728801633960179,0.625,32,-0.1521198366039821
0.5-0.6,0.5645175620421896,0.6857142857142857,315,-0.12119672367209611
0.6-0.7,0.6597696297230189,0.7460559796437659,1965,-0.08628634992074702
0.7-0.8,0.7525920498233215,0.77959482548206,4097,-0.027002775658738543
0.8-0.9,0.8472611100219954,0.8251442212054904,5027,0.022116888816505087
0.9-1.0,0.9173766176590173,0.867601246105919,642,0.0497753715530983
