league,method,a,b,n_train
D2,platt,1.2943910081005383,-0.14242653106311456,1040
E1,platt,0.634257782582998,0.5468419395357944,1981
D1,platt,1.0403477933959102,0.19620372575949427,1141
E0,platt,0.7633478908175941,0.33715308595807697,1402
SP1,platt,0.7901080428449386,0.4578357762413533,1398
SP2,platt,1.4088753385464088,0.1680960222004768,1263
DK1,platt,0.8898879525226493,0.3210380921414119,512
SW1,platt,1.3082230277996199,-0.2209669971572612,599
B2,platt,0.7435824774587704,0.6824019648518084,518
B1,platt,1.45235943903149,-0.1711123398421065,660
RO1,platt,0.5746570572765214,0.5331445429275297,718
SA1,platt,0.7021618910379864,0.3877773114995799,653
P1,platt,0.4019064224019464,0.6302757072864591,686
RS1,platt,1.5266752971363264,0.15144893413832064,694
I2,platt,0.6781986905365456,0.5260007320126887,685
N1,platt,1.313663341350529,-0.2521428112360196,660
F1,platt,1.3879329404114642,0.03747073900160092,684
TR2,platt,2.1389885121726566,-0.024768207666574053,692
I1,platt,0.8874233123975908,0.4762910383670166,770
TR1,platt,1.2726933761769004,0.1003347285335639,632
__GLOBAL__,platt,0.7435432656334853,0.459674571599608,17388
