source,league,season,match_date,home_team,away_team,home_corners,away_corners
football-data.co.uk,E1,2122,2021-08-06,bournemouth,west brom,4,8
football-data.co.uk,F1,2122,2021-08-06,monaco,nantes,5,2
football-data.co.uk,P1,2122,2021-08-06,sp lisbon,vizela,3,5
football-data.co.uk,E1,2122,2021-08-07,blackburn,swansea,7,5
football-data.co.uk,E1,2122,2021-08-07,bristol city,blackpool,2,4
football-data.co.uk,E1,2122,2021-08-07,cardiff,barnsley,2,4
football-data.co.uk,E1,2122,2021-08-07,derby,huddersfield,4,6
football-data.co.uk,E1,2122,2021-08-07,luton,peterboro,7,2
football-data.co.uk,E1,2122,2021-08-07,preston,hull,2,7
football-data.co.uk,E1,2122,2021-08-07,qpr,millwall,7,5
football-data.co.uk,E1,2122,2021-08-07,sheffield united,birmingham,8,2
football-data.co.uk,E1,2122,2021-08-07,stoke,reading,6,9
football-data.co.uk,F1,2122,2021-08-07,lyon,brest,9,4
football-data.co.uk,F1,2122,2021-08-07,troyes,paris sg,9,1
football-data.co.uk,P1,2122,2021-08-07,arouca,estoril,3,2
football-data.co.uk,P1,2122,2021-08-07,maritimo,sp braga,3,6
football-data.co.uk,P1,2122,2021-08-07,moreirense,benfica,0,6
football-data.co.uk,E1,2122,2021-08-08,coventry,nott'm forest,0,5
football-data.co.uk,E1,2122,2021-08-08,fulham,middlesbrough,4,2
football-data.co.uk,F1,2122,2021-08-08,bordeaux,clermont,5,10
football-data.co.uk,F1,2122,2021-08-08,metz,lille,4,5
football-data.co.uk,F1,2122,2021-08-08,montpellier,marseille,6,11
football-data.co.uk,F1,2122,2021-08-08,nice,reims,4,2
football-data.co.uk,F1,2122,2021-08-08,rennes,lens,3,9
football-data.co.uk,F1,2122,2021-08-08,st etienne,lorient,8,4
football-data.co.uk,F1,2122,2021-08-08,strasbourg,angers,5,4
football-data.co.uk,P1,2122,2021-08-08,guimaraes,portimonense,10,5
football-data.co.uk,P1,2122,2021-08-08,pacos ferreira,famalicao,6,3
football-data.co.uk,P1,2122,2021-08-08,porto,belenenses,8,3
football-data.co.uk,P1,2122,2021-08-08,tondela,santa clara,3,5
football-data.co.uk,P1,2122,2021-08-09,gil vicente,boavista,1,5
football-data.co.uk,D1,2122,2021-08-13,m'gladbach,bayern munich,3,8
football-data.co.uk,E0,2122,2021-08-13,brentford,arsenal,2,5
football-data.co.uk,F1,2122,2021-08-13,lorient,monaco,0,6
football-data.co.uk,N1,2122,2021-08-13,go ahead eagles,heerenveen,3,11
football-data.co.uk,P1,2122,2021-08-13,estoril,guimaraes,4,9
football-data.co.uk,SP1,2122,2021-08-13,valencia,getafe,1,9
football-data.co.uk,D1,2122,2021-08-14,augsburg,hoffenheim,6,5
football-data.co.uk,D1,2122,2021-08-14,bielefeld,freiburg,4,9
football-data.co.uk,D1,2122,2021-08-14,dortmund,ein frankfurt,7,3
football-data.co.uk,D1,2122,2021-08-14,stuttgart,greuther furth,9,2
football-data.co.uk,D1,2122,2021-08-14,union berlin,leverkusen,1,6
football-data.co.uk,D1,2122,2021-08-14,wolfsburg,bochum,5,2
football-data.co.uk,E0,2122,2021-08-14,burnley,brighton,7,6
football-data.co.uk,E0,2122,2021-08-14,chelsea,crystal palace,5,2
football-data.co.uk,E0,2122,2021-08-14,everton,southampton,6,8
football-data.co.uk,E0,2122,2021-08-14,leicester,wolves,5,4
football-data.co.uk,E0,2122,2021-08-14,man united,leeds,5,4
football-data.co.uk,E0,2122,2021-08-14,norwich,liverpool,3,11
football-data.co.uk,E0,2122,2021-08-14,watford,aston villa,2,4
football-data.co.uk,E1,2122,2021-08-14,barnsley,coventry,1,5
football-data.co.uk,E1,2122,2021-08-14,birmingham,stoke,7,6
football-data.co.uk,E1,2122,2021-08-14,blackpool,cardiff,5,3
football-data.co.uk,E1,2122,2021-08-14,huddersfield,fulham,5,7
football-data.co.uk,E1,2122,2021-08-14,hull,qpr,7,2
football-data.co.uk,E1,2122,2021-08-14,middlesbrough,bristol city,1,1
football-data.co.uk,E1,2122,2021-08-14,millwall,blackburn,7,3
football-data.co.uk,E1,2122,2021-08-14,nott'm forest,bournemouth,6,4
football-data.co.uk,E1,2122,2021-08-14,peterboro,derby,2,5
football-data.co.uk,E1,2122,2021-08-14,reading,preston,2,12
football-data.co.uk,E1,2122,2021-08-14,swansea,sheffield united,1,6
football-data.co.uk,E1,2122,2021-08-14,west brom,luton,8,4
football-data.co.uk,F1,2122,2021-08-14,lille,nice,8,7
football-data.co.uk,F1,2122,2021-08-14,paris sg,strasbourg,4,4
football-data.co.uk,N1,2122,2021-08-14,ajax,nijmegen,10,0
football-data.co.uk,N1,2122,2021-08-14,for sittard,twente,8,5
football-data.co.uk,N1,2122,2021-08-14,heracles,psv eindhoven,2,11
football-data.co.uk,N1,2122,2021-08-14,waalwijk,az alkmaar,4,6
football-data.co.uk,P1,2122,2021-08-14,benfica,arouca,4,2
football-data.co.uk,P1,2122,2021-08-14,sp braga,sp lisbon,6,5
football-data.co.uk,P1,2122,2021-08-14,vizela,tondela,11,4
football-data.co.uk,SP1,2122,2021-08-14,alaves,real madrid,0,4
football-data.co.uk,SP1,2122,2021-08-14,cadiz,levante,2,4
football-data.co.uk,SP1,2122,2021-08-14,mallorca,betis,4,3
football-data.co.uk,SP1,2122,2021-08-14,osasuna,espanol,4,6
football-data.co.uk,D1,2122,2021-08-15,fc koln,hertha,4,5
football-data.co.uk,D1,2122,2021-08-15,mainz,rb leipzig,5,11
football-data.co.uk,E0,2122,2021-08-15,newcastle,west ham,7,6
football-data.co.uk,E0,2122,2021-08-15,tottenham,man city,3,11
football-data.co.uk,F1,2122,2021-08-15,angers,lyon,6,4
football-data.co.uk,F1,2122,2021-08-15,brest,rennes,6,11
football-data.co.uk,F1,2122,2021-08-15,clermont,troyes,9,2
football-data.co.uk,F1,2122,2021-08-15,lens,st etienne,7,2
football-data.co.uk,F1,2122,2021-08-15,marseille,bordeaux,3,4
football-data.co.uk,F1,2122,2021-08-15,nantes,metz,6,6
football-data.co.uk,F1,2122,2021-08-15,reims,montpellier,8,7
