league,team,h_for,h_against,a_for,a_against,n_home,n_away
d1,augsburg,5.352941176470588,4.705882352941177,4.125,5.1875,17,16
d1,b. monchengladbach,2.0,0.0,2.0,4.0,1,1
d1,bayer leverkusen,9.0,1.0,4.0,1.0,1,1
d1,bayern munich,6.529411764705882,3.3529411764705883,5.5625,3.375,17,16
d1,bochum,6.25,5.0,5.0,5.0,4,3
d1,dortmund,6.75,3.25,3.4444444444444446,5.277777777777778,16,18
d1,ein frankfurt,5.066666666666666,3.6,4.176470588235294,4.823529411764706,15,17
d1,eintracht frankfurt,7.0,0.0,1.0,0.0,1,1
d1,fc koln,4.642857142857143,4.642857142857143,4.0,7.0,14,13
d1,freiburg,4.352941176470588,3.9411764705882355,3.9411764705882355,4.176470588235294,17,17
d1,hamburg,3.6923076923076925,5.769230769230769,3.8333333333333335,4.833333333333333,13,12
d1,hamburger sv,6.0,2.0,0.0,7.0,1,1
d1,heidenheim,4.611111111111111,4.055555555555555,4.0625,4.9375,18,16
d1,hoffenheim,4.9375,4.75,4.833333333333333,5.333333333333333,16,18
d1,holstein kiel,4.0,5.333333333333333,3.0,8.0,3,4
d1,leverkusen,6.266666666666667,3.533333333333333,3.7058823529411766,5.117647058823529,15,17
d1,m'gladbach,4.266666666666667,4.866666666666666,4.647058823529412,5.647058823529412,15,17
d1,mainz,6.055555555555555,3.2777777777777777,4.0,4.9375,18,16
d1,rb leipzig,5.5,4.833333333333333,4.75,5.0,18,16
d1,st pauli,6.0625,3.8125,3.375,5.625,16,16
d1,st. pauli,0.0,1.0,1.0,2.0,1,1
d1,stuttgart,5.125,3.875,5.277777777777778,3.7777777777777777,16,18
d1,union berlin,4.5,4.055555555555555,4.3125,4.9375,18,16
d1,werder bremen,4.235294117647059,3.7058823529411766,4.352941176470588,5.411764705882353,17,17
d1,wolfsburg,4.823529411764706,5.882352941176471,3.2941176470588234,7.9411764705882355,17,17
d2,arminia bielefeld,6.666666666666667,3.0,4.0,3.75,6,8
d2,bochum,3.625,4.375,3.1666666666666665,5.833333333333333,8,6
d2,braunschweig,4.666666666666667,4.416666666666667,4.1,5.7,12,10
d2,darmstadt,5.090909090909091,6.0,5.5,4.8,11,10
