league,method,a,b,temperature,x_breaks,y_values,n_train
D1,platt,1.1197981847811034,0.22491334951173678,1.0,[],[],692
E0,platt,0.9357296037796987,0.26233413730537297,1.0,[],[],839
E1,platt,0.4117836137495771,0.480906207022356,1.0,[],[],1137
F1,platt,0.7596269866794559,0.2714964663062888,1.0,[],[],698
I1,platt,0.6165936200592562,0.3581712277403517,1.0,[],[],840
N1,platt,1.0053757051911394,0.13292821356738757,1.0,[],[],686
P1,platt,0.5469727079695547,0.46669584895617217,1.0,[],[],698
RO1,platt,0.7071780867545887,0.14816697691477315,1.0,[],[],688
RS1,platt,0.5181602004284045,0.47477503020591166,1.0,[],[],587
SA1,platt,0.44113941204323365,0.511674993579287,1.0,[],[],628
SP1,platt,0.3031895621278932,0.8061304450095628,1.0,[],[],832
__GLOBAL__,platt,0.5518284064299586,0.468560650801134,1.0,[],[],8325
