source,league,season_start_year,match_date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals
flashscore_fhg,N1,2025,2026-01-18,fc volendam,utrecht,2,1,1,1
flashscore_fhg,N1,2025,2026-01-18,feyenoord,sparta rotterdam,3,4,2,4
flashscore_fhg,N1,2025,2026-01-18,heerenveen,groningen,0,2,2,2
flashscore_fhg,N1,2025,2026-01-18,heracles,twente,0,2,2,2
flashscore_fhg,RO1,2025,2026-01-18,cfr cluj,otelul,1,0,1,0
flashscore_fhg,RO1,2025,2026-01-18,csikszereda m. ciuc,fc botosani,1,0,1,0
flashscore_fhg,RO1,2025,2026-01-18,dinamo bucuresti,u. cluj,1,0,1,0
flashscore_fhg,RO1,2025,2026-01-19,petrolul,univ. craiova,0,4,2,4
flashscore_fhg,N1,2025,2026-01-21,az alkmaar,excelsior,1,1,0,1
flashscore_fhg,RO1,2025,2026-01-23,fc hermannstadt,dinamo bucuresti,1,2,2,2
flashscore_fhg,RO1,2025,2026-01-23,metaloglobus bucharest,fc arges,0,2,2,2
flashscore_fhg,E0,2025,2026-01-24,bournemouth,liverpool,3,2,1,2
flashscore_fhg,E0,2025,2026-01-24,burnley,tottenham,2,2,0,2
flashscore_fhg,E0,2025,2026-01-24,fulham,brighton,2,1,1,1
flashscore_fhg,E0,2025,2026-01-24,manchester city,wolves,2,0,1,0
flashscore_fhg,E0,2025,2026-01-24,west ham,sunderland,3,1,1,1
flashscore_fhg,F1,2025,2026-01-24,le havre,monaco,0,0,0,0
flashscore_fhg,F1,2025,2026-01-24,marseille,lens,3,1,1,1
flashscore_fhg,F1,2025,2026-01-24,rennes,lorient,0,2,2,2
flashscore_fhg,N1,2025,2026-01-24,ajax,fc volendam,2,0,1,0
flashscore_fhg,N1,2025,2026-01-24,nijmegen,zwolle,2,1,1,1
flashscore_fhg,N1,2025,2026-01-24,psv,nac breda,2,2,0,2
flashscore_fhg,N1,2025,2026-01-24,twente,excelsior,0,0,0,0
flashscore_fhg,P1,2025,2026-01-24,arouca,sporting cp,1,2,2,2
flashscore_fhg,P1,2025,2026-01-24,estoril,vitoria guimaraes,4,2,1,2
flashscore_fhg,P1,2025,2026-01-24,moreirense,santa clara,1,0,1,0
flashscore_fhg,RO1,2025,2026-01-24,u. cluj,unirea slobozia,1,0,1,0
flashscore_fhg,RO1,2025,2026-01-24,univ. craiova,fc botosani,2,0,1,0
flashscore_fhg,D1,2025,2026-01-25,b. monchengladbach,stuttgart,0,3,2,3
flashscore_fhg,D1,2025,2026-01-25,freiburg,fc koln,2,1,1,1
flashscore_fhg,E0,2025,2026-01-25,arsenal,manchester utd,2,3,2,3
flashscore_fhg,E0,2025,2026-01-25,brentford,nottingham,0,2,2,2
flashscore_fhg,E0,2025,2026-01-25,crystal palace,chelsea,1,3,2,3
flashscore_fhg,E0,2025,2026-01-25,newcastle,aston villa,0,2,2,2
flashscore_fhg,F1,2025,2026-01-25,brest,toulouse,0,2,2,2
flashscore_fhg,F1,2025,2026-01-25,lille,strasbourg,1,4,2,4
flashscore_fhg,F1,2025,2026-01-25,metz,lyon,2,5,2,5
flashscore_fhg,F1,2025,2026-01-25,nantes,nice,1,4,2,4
flashscore_fhg,F1,2025,2026-01-25,paris fc,angers,0,0,0,0
flashscore_fhg,N1,2025,2026-01-25,feyenoord,heracles,4,2,1,2
flashscore_fhg,N1,2025,2026-01-25,groningen,sittard,1,2,2,2
flashscore_fhg,N1,2025,2026-01-25,telstar,az alkmaar,0,1,2,1
