league,bias,mean_actual,mean_pred_cal,n_train
D1,0.9822778985434374,0.7754854368932039,0.7894766216802048,824
E0,1.0093028414171639,0.7492507492507493,0.7423448329925685,1001
E1,0.9909266916617905,0.6853932584269663,0.6916689843903159,1424
F1,1.007313767736003,0.725,0.719736017933598,880
I1,1.0430321607690365,0.7048192771084337,0.6757406948878397,996
N1,0.9531065944174719,0.7323943661971831,0.7684286002079488,852
P1,1.0008497958196494,0.6853658536585366,0.6847839271398901,820
RO1,0.9570064394190794,0.6757075471698113,0.7060637414101187,848
RS1,1.0342461402641225,0.6916666666666667,0.6687640782396644,720
SA1,1.020863917044323,0.7137254901960784,0.6991387179816353,765
SP1,1.0346147527348712,0.678,0.6553163853577325,1000
