run_date,match_date,league,home_team,away_team,xg_total,k_estimate,p_goal_before_45_raw,p_goal_before_45_cal,league_bias,p_goal_before_45,offered_odds,implied_probability,edge,edge_weighted,recommended
2026-03-07,2026-03-07T14:30:00+00:00,D1,1. fc heidenheim,1899 hoffenheim,3.3769950279951577,1.2,0.7700566861447997,0.8004929495047556,0.9999949355966394,0.8004929495047556,,,,,False
2026-03-07,2026-03-07T14:30:00+00:00,D1,rb leipzig,fc augsburg,3.170856520015585,1.2,0.7484706168900161,0.7973873852591281,0.9999949355966394,0.7973873852591281,,,,,False
2026-03-07,2026-03-07T17:30:00+00:00,D1,1. fc köln,borussia dortmund,3.0541431293874766,1.2,0.7353621551375624,0.7955713273874918,0.9999949355966394,0.7955713273874918,,,,,False
2026-03-07,2026-03-07T14:30:00+00:00,D1,fsv mainz 05,vfb stuttgart,2.9322841490237312,1.2,0.7209462347782742,0.7936261320363724,0.9999949355966394,0.7936261320363724,,,,,False
2026-03-07,2026-03-07T14:30:00+00:00,D1,vfl wolfsburg,hamburger sv,2.8132421866936026,1.2,0.7061056074409466,0.7916733454496151,0.9999949355966394,0.7916733454496151,,,,,False
2026-03-07,2026-03-07T14:30:00+00:00,D1,sc freiburg,bayer leverkusen,2.7982993064519333,1.2,0.7041878098444319,0.79142432159566,0.9999949355966394,0.79142432159566,,,,,False
2026-03-07,2026-03-07T20:00:00+00:00,SP1,athletic club,barcelona,3.390761997648563,1.2,0.7714304831276504,0.7818108815859627,0.9999961412928804,0.7818108815859627,,,,,False
2026-03-07,2026-03-07T20:30:00+00:00,P1,estoril,casa pia,4.239117820356063,1.2,0.8420036272022268,0.7777068398376163,0.9999943313040236,0.7777068398376163,,,,,False
2026-03-07,2026-03-07T20:05:00+00:00,F1,toulouse,marseille,3.283511437643459,1.2,0.7605070660280142,0.7514686922246709,0.9999988681418992,0.7514686922246709,,,,,False
2026-03-07,2026-03-07T19:00:00+00:00,N1,psv eindhoven,az alkmaar,4.414458074259545,1.2,0.8536134395094721,0.746040970926693,0.9999975535521493,0.746040970926693,,,,,False
2026-03-07,2026-03-07T19:00:00+00:00,SA1,al kholood,al-qadisiyah fc,3.403548734804824,1.2,0.7726991103509313,0.7407141054039853,0.9999993393688498,0.7407141054039853,,,,,False
2026-03-07,2026-03-07T19:45:00+00:00,I1,juventus,pisa,3.1463104262185295,1.2,0.74576879165298,0.7394552848623197,0.999988729192134,0.7394552848623197,1.03,0.970873786407767,-0.2314185015454473,-0.23141589327197973,False
2026-03-07,2026-03-07T20:00:00+00:00,N1,excelsior,heerenveen,2.883620750267032,1.2,0.7149722782765321,0.7389823371914948,0.9999975535521493,0.7389823371914948,,,,,False
2026-03-07,2026-03-07T15:30:00+00:00,N1,groningen,ajax,2.550171341391203,1.2,0.6704497882282889,0.7372103245922805,0.9999975535521493,0.7372103245922805,,,,,False
2026-03-07,2026-03-07T17:30:00+00:00,SP1,atletico madrid,real sociedad,2.847557167306611,1.2,0.7104627291194019,0.7358158904482818,0.9999961412928804,0.7358158904482818,,,,,False
2026-03-07,2026-03-07T19:00:00+00:00,SA1,al-ettifaq,al shabab,3.1881005329262204,1.2,0.7503515017291782,0.7290097591185433,0.9999993393688498,0.7290097591185433,,,,,False
2026-03-07,2026-03-07T15:00:00+00:00,E1,ipswich,leicester,3.3706345492197713,1.2,0.7694191924075835,0.7259185764805297,0.9999881074087922,0.7259185764805297,,,,,False
2026-03-07,2026-03-07T19:00:00+00:00,SA1,al-nassr,neom,3.099202122345243,1.2,0.74050194632364,0.7239770662813882,0.9999993393688498,0.7239770662813882,,,,,False
2026-03-07,2026-03-07T15:00:00+00:00,E1,bristol city,coventry,3.131255767621502,1.2,0.7440973643052684,0.7143256862407182,0.9999881074087922,0.7143256862407182,,,,,False
2026-03-07,2026-03-07T15:30:00+00:00,P1,alverca,avs,2.616717271689651,1.2,0.6798585493029444,0.7142875913767911,0.9999943313040236,0.7142875913767911,,,,,False
2026-03-07,2026-03-07T15:30:00+00:00,P1,moreirense,nacional,2.581513491865034,1.2,0.6749151364913761,0.712598471110122,0.9999943313040236,0.712598471110122,,,,,False
2026-03-07,2026-03-07T15:15:00+00:00,SP1,levante,girona,2.571853778166523,1.2,0.6735453958145271,0.7083381210683266,0.9999961412928804,0.7083381210683266,,,,,False
2026-03-07,2026-03-07T12:30:00+00:00,RO1,metaloglobus,uta arad,2.9525249775381903,1.2,0.7233939925753684,0.7080085502860248,0.9999982592092708,0.7080085502860248,,,,,False
2026-03-07,2026-03-07T18:00:00+00:00,P1,sc braga,sporting cp,2.4261991934222493,1.2,0.6521780392805188,0.7049182788589488,0.9999943313040236,0.7049182788589488,,,,,False
2026-03-07,2026-03-07T18:00:00+00:00,F1,auxerre,strasbourg,2.2650381140959133,1.2,0.6269023521275385,0.7035064329287831,0.9999988681418992,0.7035064329287831,,,,,False
