bucket,n,p_mean,y_mean,gap,market
0.6-0.7,1962,0.6622586611032764,0.583078491335372,0.07918016976790432,over_2_5
0.7-0.8,1268,0.7380548054502539,0.6490536277602523,0.0890011776900016,over_2_5
0.8-0.9,292,0.8356533942193796,0.7123287671232876,0.12332462709609193,over_2_5
0.9-1.0,40,0.9277894627134705,0.725,0.20278946271347054,over_2_5
0.6-0.7,3955,0.66843408840548,0.6743362831858407,-0.005902194780360692,under_3_5
0.7-0.8,9723,0.745617407845173,0.7574822585621722,-0.011864850716999165,under_3_5
0.8-0.9,357,0.8207047216777427,0.7955182072829131,0.02518651439482955,under_3_5
0.8-0.9,10275,0.8666846683925393,0.8728953771289538,-0.006210708736414494,under_4_5
0.9-1.0,3116,0.9094174987750997,0.9117458279845956,-0.002328329209495883,under_4_5
0.6-0.7,2829,0.6405133882924082,0.6016260162601627,0.03888737203224557,btts
0.7-0.8,499,0.7276582932722827,0.5971943887775552,0.13046390449472756,btts
0.8-0.9,33,0.8351073856274576,0.7272727272727273,0.10783465835473027,btts
0.9-1.0,1,0.9201415543183245,0.0,0.9201415543183245,btts
