bucket,p_mean,y_mean,count,gap,league,market
0.6-0.7,0.6954429613812343,0.7154811715481172,478,-0.020038210166882897,B1,under_3_5
0.7-0.8,0.7023119801740118,0.664,250,0.03831198017401172,B1,under_3_5
0.7-0.8,0.75272891271488,0.5,8,0.25272891271487996,B1,under_4_5
0.8-0.9,0.843025321290449,0.8458333333333333,720,-0.002808012042884278,B1,under_4_5
0.5-0.6,0.5764725173010598,0.6,5,-0.023527482698940227,B2,under_3_5
0.6-0.7,0.6527295404120539,0.6533742331288344,652,-0.0006446927167804706,B2,under_3_5
0.7-0.8,0.7075936893528956,0.6,5,0.1075936893528956,B2,under_3_5
0.8-0.9,0.8368594242290125,0.8368580060422961,662,1.4181867163953754e-06,B2,under_4_5
0.3-0.4,0.33729718854504437,0.0,1,0.33729718854504437,D1,under_3_5
0.4-0.5,0.47706702598850936,0.45652173913043476,46,0.020545286858074607,D1,under_3_5
0.5-0.6,0.5650956862636487,0.5592105263157895,608,0.005885159947859209,D1,under_3_5
0.6-0.7,0.6334735452167805,0.6419491525423728,472,-0.008475607325592383,D1,under_3_5
0.7-0.8,0.729644550826586,0.7931034482758621,29,-0.06345889744927613,D1,under_3_5
0.9-1.0,0.9933270272070432,0.6666666666666666,3,0.3266603605403766,D1,under_3_5
0.6-0.7,0.672788864953158,0.0,1,0.672788864953158,D1,under_4_5
0.7-0.8,0.7778722589545386,0.7693222354340071,841,0.008550023520531469,D1,under_4_5
0.8-0.9,0.8158140779980895,0.8439490445859873,314,-0.028134966587897825,D1,under_4_5
0.9-1.0,0.9903798207607943,0.6666666666666666,3,0.3237131540941277,D1,under_4_5
0.6-0.7,0.6579863374028859,0.6579861111111112,1152,2.262917747630766e-07,D2,under_3_5
0.7-0.8,0.7850273402266984,1.0,3,-0.2149726597733016,D2,under_4_5
0.8-0.9,0.8264969179863437,0.8259355961705831,1149,0.0005613218157606292,D2,under_4_5
0.0-0.1,0.008443598429979927,0.0,1,0.008443598429979927,DK1,under_3_5
0.4-0.5,0.4652591849868151,0.3333333333333333,6,0.1319258516534818,DK1,under_3_5
0.5-0.6,0.5746939485699344,0.6746987951807228,83,-0.10000484661078846,DK1,under_3_5
0.6-0.7,0.6373361685422916,0.6185819070904646,409,0.018754261451827015,DK1,under_3_5
0.7-0.8,0.7287253650045313,0.717948717948718,39,0.010776647055813382,DK1,under_3_5
0.8-0.9,0.8032773813107,1.0,3,-0.19672261868929997,DK1,under_3_5
0.3-0.4,0.38157006459735454,1.0,1,-0.6184299354026455,DK1,under_4_5
0.7-0.8,0.7930621980249678,0.7890295358649789,237,0.004032662159988876,DK1,under_4_5
0.8-0.9,0.8107680751154843,0.8118811881188119,303,-0.0011131130033276149,DK1,under_4_5
0.5-0.6,0.5802369236099914,0.6083333333333333,120,-0.02809640972334193,E0,under_3_5
0.6-0.7,0.6498536805454349,0.648578811369509,1161,0.0012748691759258968,E0,under_3_5
0.7-0.8,0.7174246451119842,0.7142857142857143,140,0.0031389308262699256,E0,under_3_5
0.8-0.9,0.8218201890138053,0.3333333333333333,3,0.48848685568047195,E0,under_3_5
0.7-0.8,0.7860947817540944,0.8021978021978022,182,-0.016103020443707816,E0,under_4_5
0.8-0.9,0.8329853761289983,0.8311793214862682,1238,0.0018060546427300928,E0,under_4_5
0.9-1.0,0.9237606488485752,0.75,4,0.17376064884857523,E0,under_4_5
0.6-0.7,0.675976974150706,0.47368421052631576,19,0.20229276362439025,E1,under_3_5
0.7-0.8,0.7566086741558748,0.758496395468589,1942,-0.0018877213127141967,E1,under_3_5
0.8-0.9,0.8150872750162343,0.8333333333333334,54,-0.018246058317099023,E1,under_3_5
0.9-1.0,0.9042334492896326,0.5,2,0.40423344928963256,E1,under_3_5
0.7-0.8,0.7812543522267382,0.8333333333333334,6,-0.052078981106595146,E1,under_4_5
0.8-0.9,0.8829349547811751,0.8871508379888268,895,-0.0042158832076516495,E1,under_4_5
0.9-1.0,0.9158454390858797,0.9121863799283154,1116,0.0036590591575642595,E1,under_4_5
0.4-0.5,0.4802565760471744,1.0,3,-0.5197434239528256,F1,under_3_5
0.5-0.6,0.5692221733117757,0.4772727272727273,44,0.09194944603904842,F1,under_3_5
0.6-0.7,0.6549414599671443,0.6728723404255319,376,-0.017930880458387644,F1,under_3_5
0.7-0.8,0.726631037531485,0.7066666666666667,150,0.01996437086481828,F1,under_3_5
0.8-0.9,0.8148944485176457,0.5,4,0.3148944485176457,F1,under_3_5
0.6-0.7,0.6852104496100113,1.0,2,-0.3147895503899887,F1,under_4_5
0.7-0.8,0.7757264129374121,0.7419354838709677,62,0.03379092906644432,F1,under_4_5
0.8-0.9,0.850752800626128,0.8565488565488566,481,-0.005796055922728582,F1,under_4_5
0.9-1.0,0.9163165447566339,0.875,32,0.04131654475663393,F1,under_4_5
0.6-0.7,0.6726771123927244,0.8571428571428571,7,-0.18446574475013267,I1,under_3_5
0.7-0.8,0.7484121119427523,0.7468499427262314,873,0.001562169216520859,I1,under_3_5
0.8-0.9,0.8200393679479333,0.8333333333333334,6,-0.013293965385400064,I1,under_3_5
0.8-0.9,0.8814803762671165,0.8837837837837837,740,-0.002303407516667244,I1,under_4_5
0.9-1.0,0.9089375738150258,0.8972602739726028,146,0.01167729984242305,I1,under_4_5
0.7-0.8,0.7541566346470755,0.7541567695961995,842,-1.349491239865941e-07,I2,under_3_5
0.8-0.9,0.8971540552516433,1.0,4,-0.10284594474835673,I2,under_4_5
0.9-1.0,0.9086038641864023,0.9081145584725537,838,0.0004893057138485313,I2,under_4_5
