league,market,method,a,b,temperature,n_train
B1,under_3_5,platt,0.5925378815386568,0.30128636319049,1.0,757
B1,under_4_5,platt,0.9668737915122401,0.4142885620581232,1.0,757
B2,under_3_5,platt,0.5472890635597063,0.10640746515071818,1.0,670
B2,under_4_5,platt,1.5890930766889684,0.029093522253039805,1.0,670
D1,under_3_5,platt,0.18879771983071808,0.37287503541291916,1.0,1205
D1,under_4_5,platt,0.9716074305594561,0.26103788110444626,1.0,1205
D2,under_3_5,platt,0.6701585476153215,-0.017350715829789285,1.0,1197
D2,under_4_5,platt,1.4823804591994256,0.047250948507551516,1.0,1197
DK1,under_3_5,platt,0.37907415151285917,0.24960317421012834,1.0,579
DK1,under_4_5,platt,1.2504337722514391,0.08592433001907471,1.0,579
E0,under_3_5,platt,0.44555451882668007,0.2691329911115778,1.0,1486
E0,under_4_5,platt,1.1884771459493197,0.24922838736168484,1.0,1486
E1,under_3_5,platt,0.9273619835339295,0.17053571948991011,1.0,2151
E1,under_4_5,platt,1.8192153109426237,0.17480644625619396,1.0,2151
F1,under_3_5,platt,0.45871894024058907,0.34974554629112947,1.0,713
F1,under_4_5,platt,1.0768635009000018,0.37771033762469686,1.0,713
I1,under_3_5,platt,0.959363040900203,0.12832660400010318,1.0,947
I1,under_4_5,platt,1.7170925319286017,0.1517481271879956,1.0,947
I2,under_3_5,platt,1.128842411038909,-0.0050145524097199275,1.0,892
I2,under_4_5,platt,2.1684564866304714,0.0429335192231715,1.0,892
N1,under_3_5,platt,0.3227223643024886,0.2725398027984729,1.0,652
N1,under_4_5,platt,0.8457745225464335,0.31992218170248,1.0,652
P1,under_3_5,platt,0.7624111428237739,0.13232658222456783,1.0,798
P1,under_4_5,platt,1.8761038472475073,0.10150266427751209,1.0,798
RO1,under_3_5,platt,0.9064218675898321,0.223661697689037,1.0,783
RO1,under_4_5,platt,1.6516518031301983,0.1646223842655102,1.0,783
RS1,under_3_5,platt,0.5333396814040413,0.2301451608243951,1.0,778
RS1,under_4_5,platt,1.0588265781068131,0.3005422713388351,1.0,778
SA1,under_3_5,platt,0.2973748203353004,0.38402202621722337,1.0,794
SA1,under_4_5,platt,0.9423644395607246,0.30669458710418085,1.0,794
SP1,under_3_5,platt,0.4441685089016009,0.5799614670721353,1.0,1243
SP1,under_4_5,platt,0.6249692049601522,0.6182460749831408,1.0,1243
SP2,under_3_5,platt,0.8804543780191042,0.1172958653674745,1.0,1155
SP2,under_4_5,platt,1.446244916775262,0.25044799636303766,1.0,1155
SW1,under_3_5,platt,0.5286070941223581,0.0895337101463091,1.0,652
SW1,under_4_5,platt,1.2848704922092566,0.11973992680964124,1.0,652
TR1,under_3_5,platt,0.6610675472611448,0.09434470934461364,1.0,820
TR1,under_4_5,platt,1.4471468973439692,0.051503982681586805,1.0,820
TR2,under_3_5,platt,0.6645731018164239,0.2014049614428695,1.0,927
TR2,under_4_5,platt,1.1653538345136703,0.268512198134537,1.0,927
__GLOBAL__,under_3_5,platt,0.5580442504369392,0.2839562364867263,1.0,19199
__GLOBAL__,under_4_5,platt,1.1981093221082055,0.29316828892475605,1.0,19199
