run_date,match_date,league,home_team,away_team,market,lam_home,lam_away,lam_total,mismatch,p_raw,p_cal,fair_odds,offered_odds,implied_probability,edge,odds_source,mismatch_flag,high_total_flag,recommended
2026-04-10,2026-04-10,E1,west brom,millwall,under_3_5,0.7309,1.252,1.9829,0.5212,0.8602,0.7752,1.29,,,,missing,False,False,True
2026-04-10,2026-04-10,I2,frosinone,palermo,under_3_5,1.6172,1.348,2.9652,0.2692,0.655,0.7686,1.3011,,,,missing,False,False,True
2026-04-10,2026-04-10,P1,famalicao,moreirense,under_3_5,1.3226,0.42,1.7426,0.9026,0.9003,0.7641,1.3088,,,,missing,False,False,True
2026-04-10,2026-04-10,RO1,fc hermannstadt,farul constanta,under_3_5,1.456,1.4643,2.9203,0.0084,0.6651,0.7438,1.3445,,,,missing,False,False,True
2026-04-10,2026-04-10T16:00:00+00:00,RO1,afc hermannstadt,farul constanta,under_3_5,1.456,1.4643,2.9203,0.0084,0.6651,0.7438,1.3445,,,,missing,False,False,True
2026-04-10,2026-04-10,SP1,real madrid,girona,under_3_5,1.8428,0.8359,2.6787,1.0069,0.7188,0.7306,1.3688,,,,missing,False,False,True
2026-04-10,2026-04-10,F1,paris fc,monaco,under_3_5,0.7004,1.5058,2.2062,0.8054,0.8181,0.7082,1.4121,,,,missing,False,False,True
2026-04-10,2026-04-10,E0,west ham,wolves,under_3_5,1.2636,1.0885,2.352,0.1751,0.7887,0.6909,1.4475,1.05,0.9524,-0.2615,market,False,False,False
2026-04-10,2026-04-10T18:00:00+00:00,SA1,al shabab,al-ittihad fc,under_3_5,1.4473,0.985,2.4323,0.4622,0.7719,0.6895,1.4504,,,,missing,False,False,False
2026-04-10,2026-04-10,DK1,aarhus,nordsjaelland,under_3_5,1.7642,1.1721,2.9363,0.592,0.6615,0.6614,1.5119,,,,missing,False,False,False
2026-04-10,2026-04-10T17:00:00+00:00,DK1,aarhus,fc nordsjaelland,under_3_5,1.7642,1.1721,2.9363,0.592,0.6615,0.6614,1.5119,,,,missing,False,False,False
2026-04-10,2026-04-10,D2,dusseldorf,holstein kiel,under_3_5,1.3636,1.1978,2.5613,0.1658,0.7444,0.6599,1.5153,,,,missing,False,False,False
2026-04-10,2026-04-10T16:30:00+00:00,D2,fortuna düsseldorf,holstein kiel,under_3_5,1.3636,1.1978,2.5613,0.1658,0.7444,0.6599,1.5153,,,,missing,False,False,False
2026-04-10,2026-04-10,D2,karlsruher sc,arminia bielefeld,under_3_5,1.3935,1.2972,2.6907,0.0964,0.7161,0.6592,1.517,,,,missing,False,False,False
2026-04-10,2026-04-10,N1,twente,fc volendam,under_3_5,1.9186,0.3715,2.29,1.5471,0.8014,0.6488,1.5414,1.08,0.9259,-0.2772,market,True,False,False
2026-04-10,2026-04-10,I1,as roma,pisa,under_3_5,2.8661,0.749,3.615,2.1171,0.5121,0.6296,1.5882,1.02,0.9804,-0.3508,market,True,True,False
2026-04-10,2026-04-10,D1,augsburg,hoffenheim,under_3_5,1.3204,1.6728,2.9932,0.3524,0.6488,0.609,1.642,,,,missing,False,False,False
