run_date,match_date,league,home_team,away_team,market,lam_home,lam_away,lam_total,mismatch,p_raw,p_cal,fair_odds,offered_odds,implied_probability,edge,odds_source,mismatch_flag,high_total_flag,recommended
2026-04-10,2026-04-10,E1,west brom,millwall,under_3_5,0.7309,1.252,1.9829,0.5212,0.8602,0.7752,1.29,,,,missing,False,False,True
2026-04-10,2026-04-10,I2,frosinone,palermo,under_3_5,1.6172,1.348,2.9652,0.2692,0.655,0.7686,1.3011,,,,missing,False,False,True
2026-04-10,2026-04-10,P1,famalicao,moreirense,under_3_5,1.3226,0.42,1.7426,0.9026,0.9003,0.7641,1.3088,,,,missing,False,False,True
2026-04-10,2026-04-10,RO1,fc hermannstadt,farul constanta,under_3_5,1.456,1.4643,2.9203,0.0084,0.6651,0.7438,1.3445,,,,missing,False,False,True
2026-04-10,2026-04-10T16:00:00+00:00,RO1,afc hermannstadt,farul constanta,under_3_5,1.456,1.4643,2.9203,0.0084,0.6651,0.7438,1.3445,,,,missing,False,False,True
2026-04-10,2026-04-10,SP1,real madrid,girona,under_3_5,1.8428,0.8359,2.6787,1.0069,0.7188,0.7306,1.3688,,,,missing,False,False,True
2026-04-10,2026-04-10,F1,paris fc,monaco,under_3_5,0.7004,1.5058,2.2062,0.8054,0.8181,0.7082,1.4121,,,,missing,False,False,True
2026-04-10,2026-04-10,P1,famalicao,moreirense,under_4_5,1.3226,0.42,1.7426,0.9026,0.9676,0.9101,1.0988,,,,missing,False,False,True
2026-04-10,2026-04-10,E1,west brom,millwall,under_4_5,0.7309,1.252,1.9829,0.5212,0.9489,0.9095,1.0995,,,,missing,False,False,True
2026-04-10,2026-04-10,I2,frosinone,palermo,under_4_5,1.6172,1.348,2.9652,0.2692,0.8211,0.8977,1.114,,,,missing,False,False,True
2026-04-10,2026-04-10,RO1,fc hermannstadt,farul constanta,under_4_5,1.456,1.4643,2.9203,0.0084,0.8285,0.874,1.1442,,,,missing,False,False,True
2026-04-10,2026-04-10T16:00:00+00:00,RO1,afc hermannstadt,farul constanta,under_4_5,1.456,1.4643,2.9203,0.0084,0.8285,0.874,1.1442,,,,missing,False,False,True
2026-04-10,2026-04-10,F1,paris fc,monaco,under_4_5,0.7004,1.5058,2.2062,0.8054,0.9268,0.8637,1.1578,,,,missing,False,False,True
2026-04-10,2026-04-10,SP1,real madrid,girona,under_4_5,1.8428,0.8359,2.6787,1.0069,0.8661,0.8594,1.1636,,,,missing,False,False,True
2026-04-10,2026-04-10T18:00:00+00:00,SA1,al shabab,al-ittihad fc,under_4_5,1.4473,0.985,2.4323,0.4622,0.9,0.8441,1.1847,,,,missing,False,False,True
2026-04-10,2026-04-10,D2,dusseldorf,holstein kiel,under_4_5,1.3636,1.1978,2.5613,0.1658,0.8828,0.8341,1.1988,,,,missing,False,False,True
2026-04-10,2026-04-10T16:30:00+00:00,D2,fortuna düsseldorf,holstein kiel,under_4_5,1.3636,1.1978,2.5613,0.1658,0.8828,0.8341,1.1988,,,,missing,False,False,True
2026-04-10,2026-04-10,D2,karlsruher sc,arminia bielefeld,under_4_5,1.3935,1.2972,2.6907,0.0964,0.8643,0.8319,1.202,,,,missing,False,False,True
