league,home_team,away_team,side,line,lambda_our,lambda_bk,p_over_raw,p_over
SA1,al hilal,damac,home,3.5,2.959,5.623,0.7355560439830837,0.8022586106117635
SA1,al hilal,damac,home,2.5,2.959,5.623,0.8547569355463973,0.7989824648290849
SA1,al khaleej,al najma,home,3.5,2.788,5.297,0.7021390222608594,0.7758334416684318
SA1,al khaleej,al najma,home,2.5,2.788,5.297,0.8323955372856824,0.7730922353850208
SA1,al shabab,al fateh,home,3.5,2.765,5.254,0.6974319502205422,0.7720692251274364
SA1,al shabab,al fateh,home,2.5,2.765,5.254,0.8291807983370916,0.7694291297584431
SA1,neom sc,al hazem,home,3.5,2.728,5.183,0.6895465552781985,0.7657392080618288
SA1,neom sc,al hazem,home,2.5,2.728,5.183,0.8237592774256924,0.7632831168558423
SA1,neom sc,al hazem,away,3.5,3.037,5.77,0.7104208299811863,0.7067240198778518
SA1,neom sc,al hazem,away,2.5,3.037,5.77,0.8265045010390975,0.7011626801594422
SA1,al khaleej,al najma,away,3.5,2.506,4.762,0.6087124492697651,0.6569888223603962
SA1,al khaleej,al najma,away,2.5,2.506,4.762,0.751703307864737,0.6517958443566617
SA1,al shabab,al fateh,away,3.5,2.402,4.563,0.5848292608803213,0.6456247674560487
E1,southampton,ipswich,home,3.5,2.078,4.364,0.5977758385969018,0.6447432062278873
E1,southampton,ipswich,home,2.5,2.078,4.364,0.7648288046398464,0.6428025699689335
SA1,al shabab,al fateh,away,2.5,2.402,4.563,0.7331088819964986,0.6407165892048666
E1,southampton,ipswich,away,3.5,2.111,4.432,0.5713081842404784,0.6056057793873563
E1,southampton,ipswich,away,2.5,2.111,4.432,0.72410243072238,0.5920083424993783
SA1,al hilal,damac,home,5.5,2.959,5.623,0.4643031185925212,0.5790337162174898
SA1,al hilal,damac,home,4.5,2.959,5.623,0.5995032052492333,0.5783995189231204
SA1,al khaleej,al najma,home,5.5,2.788,5.297,0.4212857160381411,0.5402029690853584
SA1,al khaleej,al najma,home,4.5,2.788,5.297,0.5587373856319248,0.5394583422915825
SA1,al shabab,al fateh,home,5.5,2.765,5.254,0.4154705603081479,0.534834914410403
SA1,al shabab,al fateh,home,4.5,2.765,5.254,0.5531117782354034,0.5341075492316344
SA1,al hilal,damac,away,2.5,1.576,2.995,0.5231825269233887,0.530264459522715
SA1,al hilal,damac,away,3.5,1.576,2.995,0.3476918933572228,0.5274673187138328
SA1,neom sc,al hazem,home,5.5,2.728,5.183,0.405858130804158,0.5258957101289303
SA1,neom sc,al hazem,home,4.5,2.728,5.183,0.5437503778016957,0.5252146613246705
SA1,neom sc,al hazem,away,5.5,3.037,5.77,0.4668611379834353,0.4758772712220122
SA1,neom sc,al hazem,away,4.5,3.037,5.77,0.586344446837556,0.470298334976289
SA1,al khaleej,al najma,away,5.5,2.506,4.762,0.3472570333884744,0.3987048105879314
SA1,al khaleej,al najma,away,4.5,2.506,4.762,0.46945139919793,0.3917250671552379
SA1,al shabab,al fateh,away,5.5,2.402,4.563,0.3222467122724722,0.3818466702964954
E1,southampton,ipswich,home,5.5,2.078,4.364,0.2878307665707333,0.3766002026252759
SA1,al shabab,al fateh,away,4.5,2.402,4.563,0.4435400200746026,0.3748998859793731
E1,southampton,ipswich,home,4.5,2.078,4.364,0.4305650931261506,0.3741441080715431
E1,southampton,ipswich,away,5.5,2.111,4.432,0.3051533657287165,0.3622445755389453
E1,southampton,ipswich,away,4.5,2.111,4.432,0.4271801423198891,0.3536347705848703
SA1,al hilal,damac,away,5.5,1.576,2.995,0.1274449113109751,0.2268708614321915
SA1,al hilal,damac,away,4.5,1.576,2.995,0.2162044246297473,0.2254181869038138
