league,n_preds,n_bets,hit_rate,log_loss,brier,p_mean
RO1,5440,1607,0.7884256378344742,0.6182429882778075,0.21473432756015703,0.4571696870943714
RS1,5168,1904,0.7767857142857143,0.6104261637243759,0.21106432148058824,0.47678069201216156
B1,4896,1532,0.7741514360313316,0.6200963870423334,0.21595388371602126,0.4501639675440518
N1,4968,1773,0.7698815566835872,0.6222643964137632,0.21619508521759062,0.6034621830252392
DK1,3840,1235,0.7676113360323886,0.6184160896580589,0.2143367456863564,0.5049469691889982
D1,8840,2617,0.7630875047764616,0.6288292695806106,0.21952233273900543,0.5830295414062687
P1,5176,1012,0.758893280632411,0.6420147191382917,0.2255733795585214,0.5139111527313719
SA1,4808,1300,0.7584615384615384,0.6327414872215604,0.22103477663149834,0.5619809364415563
SP1,10624,2473,0.7577840679336838,0.640187807895953,0.2245931310506338,0.5216513201373321
F1,5160,1195,0.7497907949790795,0.6410570849097559,0.2253762881183998,0.5434102721442152
B2,4144,1044,0.7490421455938697,0.6405796593031154,0.22460279477980255,0.46742323064770136
E0,10792,2161,0.7478019435446552,0.6423471508689036,0.22554277801728773,0.548183321415593
D2,8008,1712,0.7476635514018691,0.6428089874315646,0.22570624720566212,0.5834163451300087
TR1,4760,1133,0.7466902030008826,0.6387114879917378,0.22374537120688293,0.541178148320106
SW1,4552,831,0.7460890493381468,0.6449916540624276,0.22699479593631638,0.5738130472036128
TR2,5336,1337,0.7456993268511594,0.6402216301473838,0.22457498960409314,0.4966290817761588
E1,15520,3435,0.7417758369723435,0.643985174171356,0.22617703801699807,0.4755140608730672
SP2,9656,2342,0.7386848847139197,0.6437215361772165,0.2260745969384314,0.4832222771306726
I1,5752,1184,0.7381756756756757,0.6465375391150503,0.227429350305783,0.4885268390937215
I2,5168,876,0.7214611872146118,0.652462251222999,0.23014721829094584,0.4891645696775105
