league,side,line,method,a,b,n_train
D2,home,2.5,platt,0.3715640733603279,0.49031656081107877,1028
E1,home,2.5,platt,0.19486088872887664,0.6016801761668046,1978
D1,home,2.5,platt,-1.5822835342879418,0.9830107019770974,1132
E0,home,2.5,platt,-1.644258975429677,1.107018329261772,1379
SP1,home,2.5,platt,-1.537062914959192,1.155443681337516,1367
SP2,home,2.5,platt,-0.23462111542378705,0.7437699075074492,1240
DK1,home,2.5,platt,0.14283283687663828,0.6041719413606533,504
SW1,home,2.5,platt,1.5866419125890447,0.19238661529408274,587
B2,home,2.5,platt,-0.025538081758848186,0.6903424680080564,518
B1,home,2.5,platt,-1.8297619514884185,1.249392240928566,642
RO1,home,2.5,platt,0.8971826946250877,0.41726938603867525,704
SA1,home,2.5,platt,-0.9749110273704541,1.0869041895928446,631
P1,home,2.5,platt,-1.1340088161616058,1.1032935964107038,670
RS1,home,2.5,platt,0.7817664352342184,0.5824327166523461,678
I2,home,2.5,platt,0.9762538975888861,0.45789362512839626,676
N1,home,2.5,platt,-2.536933585395046,1.4244808956233286,647
F1,home,2.5,platt,0.08385065455694587,0.6362781206347313,673
TR2,home,2.5,platt,-1.9180189610734601,1.4665629039583317,689
I1,home,2.5,platt,-0.6740242131041738,0.9193473688832547,749
TR1,home,2.5,platt,1.3511719412714556,0.3238222596477608,623
D2,home,3.5,platt,0.678355995938082,0.5526824373578112,1028
E1,home,3.5,platt,0.5476444003772734,0.6861279937717556,1978
D1,home,3.5,platt,-0.9466557995936951,1.0755075628724855,1132
E0,home,3.5,platt,-0.9004807310865083,1.2161447261925724,1379
SP1,home,3.5,platt,-0.7676551452412962,1.273921140495181,1367
SP2,home,3.5,platt,0.3284050925335809,0.8159318862063778,1240
DK1,home,3.5,platt,0.35528594329443164,0.7339790669414357,504
SW1,home,3.5,platt,1.6388896093871619,0.2342872364495728,587
B2,home,3.5,platt,0.032582821755113456,0.586190265422641,518
B1,home,3.5,platt,-0.651075937821386,0.8294344822465713,642
RO1,home,3.5,platt,1.0163642336879848,0.5314607477792429,704
SA1,home,3.5,platt,-0.22168130963271643,1.1626687987246445,631
P1,home,3.5,platt,-0.3887344431113864,1.1981607249000017,670
RS1,home,3.5,platt,0.910083017943339,0.7335975908249497,678
I2,home,3.5,platt,1.1900400617954123,0.5452776283224184,676
N1,home,3.5,platt,-1.752527533421864,1.5816286877136012,647
F1,home,3.5,platt,0.3691321327432288,0.746575399661825,673
TR2,home,3.5,platt,-1.0186616963204707,1.620656617039486,689
I1,home,3.5,platt,-0.007301863177618763,1.0019350235652924,749
TR1,home,3.5,platt,1.4864196903270155,0.38161363298931134,623
D2,home,4.5,platt,0.4306136603970521,0.426361248807233,1028
E1,home,4.5,platt,-0.3483465084791025,0.8212276125444428,1978
D1,home,4.5,platt,-0.7905926438894452,0.9371790498981449,1132
E0,home,4.5,platt,-1.0312687298167103,1.145736131207144,1379
SP1,home,4.5,platt,-0.6429522051218872,1.1089361841166583,1367
SP2,home,4.5,platt,-0.3968432468530832,0.9885493297127569,1240
DK1,home,4.5,platt,0.748228381428007,0.40358390139752665,504
SW1,home,4.5,platt,0.9595584105095698,0.2860460491126993,587
B2,home,4.5,platt,0.34259733457689867,0.6543532667055652,518
B1,home,4.5,platt,-0.20078427794196524,0.9190216339551815,642
RO1,home,4.5,platt,0.18346152963473691,0.7465338537713194,704
SA1,home,4.5,platt,-0.5938328828582414,1.1837670985929936,631
P1,home,4.5,platt,-1.148116625159741,1.496245098256835,670
RS1,home,4.5,platt,0.3045301103898745,0.7609741132221626,678
I2,home,4.5,platt,0.26611555164248224,0.6205791192979129,676
N1,home,4.5,platt,0.11133868268398955,0.7249909875084349,647
F1,home,4.5,platt,-0.49722255652426295,0.852095835447753,673
TR2,home,4.5,platt,-0.8062436615913342,1.4699719903054438,689
I1,home,4.5,platt,-0.6152669239671018,1.1265133515348034,749
TR1,home,4.5,platt,0.3918901626557383,0.498901572485234,623
D2,home,5.5,platt,0.6402449504700813,0.4722018389244948,1028
E1,home,5.5,platt,0.08459854101647903,0.8925755542004198,1978
D1,home,5.5,platt,-0.3389422311738404,1.0076844617901064,1132
E0,home,5.5,platt,-0.37517403022966966,1.1924339814865101,1379
SP1,home,5.5,platt,-0.03183344241284081,1.170375296651458,1367
SP2,home,5.5,platt,0.24172306475033015,1.0141368999875828,1240
DK1,home,5.5,platt,-0.18558898087836803,0.6153263928481066,504
SW1,home,5.5,platt,1.0428357751935897,0.3418775639992214,587
B2,home,5.5,platt,0.21628563345945268,0.5005250860590948,518
B1,home,5.5,platt,-0.257177877162478,0.7455633159737048,642
RO1,home,5.5,platt,-0.22265922782223987,0.9447081854432805,704
SA1,home,5.5,platt,0.058633753606764434,1.2083931312559264,631
P1,home,5.5,platt,-0.31958261813173416,1.5452008776627126,670
RS1,home,5.5,platt,-0.5195108719787568,1.0831583709470525,678
I2,home,5.5,platt,0.5776670105431617,0.6919779445719833,676
N1,home,5.5,platt,0.4130444365027641,0.7937259153561333,647
F1,home,5.5,platt,-0.09460263465079194,0.9400576828116419,673
TR2,home,5.5,platt,-0.02337786956941465,1.5172610152537696,689
I1,home,5.5,platt,0.060913679579205376,1.1610993823968894,749
TR1,home,5.5,platt,0.6157978757014951,0.5540287043168518,623
D2,away,2.5,platt,1.607196757356198,0.13267202519480314,1028
E1,away,2.5,platt,-0.5890850872579264,0.821900213898877,1978
D1,away,2.5,platt,0.28048466076444223,0.5261112368008638,1132
E0,away,2.5,platt,-0.33182648815010196,0.766025065426913,1379
SP1,away,2.5,platt,-0.5258004199816133,0.9802663703799568,1367
SP2,away,2.5,platt,-0.08983303943720308,0.837647825755225,1240
DK1,away,2.5,platt,2.004615498200726,0.07391075270791292,504
SW1,away,2.5,platt,1.3630658799980349,0.24790983411015188,587
B2,away,2.5,platt,1.954597827271209,0.11157613215282972,518
B1,away,2.5,platt,-0.5718758142790623,0.9056940056253286,642
RO1,away,2.5,platt,1.3671611042726823,0.2141314812147385,704
SA1,away,2.5,platt,-0.055686272456003105,0.7149338818886453,631
P1,away,2.5,platt,-1.1182893797582585,1.1956344050883576,670
RS1,away,2.5,platt,0.5434157488255531,0.5731035949517772,678
I2,away,2.5,platt,1.0361397841824433,0.25631478905301086,676
N1,away,2.5,platt,-0.6324050529210171,0.9309989754013857,647
F1,away,2.5,platt,-0.6092719741966179,0.9312008670276518,673
TR2,away,2.5,platt,-0.6326571038239683,1.181859051355079,689
I1,away,2.5,platt,-0.16870424068410328,0.6802097816435398,749
TR1,away,2.5,platt,-0.85471714050979,1.0988831945839979,623
D2,away,3.5,platt,1.600229855915748,0.17846933854048738,1028
E1,away,3.5,platt,-0.016112107728036104,0.901967626459292,1978
D1,away,3.5,platt,0.5070905883547182,0.6232260427782836,1132
E0,away,3.5,platt,0.12732005564577903,0.8585027688572576,1379
SP1,away,3.5,platt,0.16411829574587217,1.048303916120618,1367
SP2,away,3.5,platt,0.5696072085864988,0.8620367232695242,1240
DK1,away,3.5,platt,2.043405132845703,0.08566754724071478,504
SW1,away,3.5,platt,1.4528903246886147,0.3005834307196441,587
B2,away,3.5,platt,0.7126020402227676,0.1947622717793022,518
B1,away,3.5,platt,-0.21999994067368192,0.61381528568296,642
RO1,away,3.5,platt,1.5276456923687787,0.23420602837655785,704
SA1,away,3.5,platt,0.32964505359021556,0.7997005258649076,631
P1,away,3.5,platt,-0.3188122577409319,1.275265054549652,670
RS1,away,3.5,platt,0.93083817309073,0.5760829983751244,678
I2,away,3.5,platt,1.2127671265458055,0.28763129558085143,676
N1,away,3.5,platt,-0.07042696020155675,1.0199754370679601,647
F1,away,3.5,platt,-0.07457024816949241,1.0478698043845631,673
TR2,away,3.5,platt,0.12234564632791123,1.2064234598434553,689
I1,away,3.5,platt,0.31167993482373096,0.7381315667846953,749
TR1,away,3.5,platt,-0.19257747403476602,1.2421328285915516,623
D2,away,4.5,platt,-0.1908588840896329,0.5435153208872865,1028
E1,away,4.5,platt,-0.35972515738675465,0.9194124587962772,1978
D1,away,4.5,platt,-0.24141650244087798,0.688735073156818,1132
E0,away,4.5,platt,-0.25196242252053336,0.8233040349461711,1379
SP1,away,4.5,platt,-0.2454054853196513,1.125047776261984,1367
SP2,away,4.5,platt,0.19806930147186372,0.6210097030740259,1240
DK1,away,4.5,platt,1.0645682790151056,0.12706494150029118,504
SW1,away,4.5,platt,0.6816521220608285,0.31318121342273614,587
B2,away,4.5,platt,0.7545477844500544,0.25275168624344435,518
B1,away,4.5,platt,0.13361069177713777,0.6767760906738992,642
RO1,away,4.5,platt,0.34704657780703163,0.5367712153090064,704
SA1,away,4.5,platt,-0.3258508358322349,0.893421038528004,631
P1,away,4.5,platt,-0.251928055049254,0.9355138801388265,670
RS1,away,4.5,platt,-0.08290064773414256,0.8595774007186285,678
I2,away,4.5,platt,0.3788208374941221,0.40512172996723367,676
N1,away,4.5,platt,-0.32981716490850654,0.9415619289576077,647
F1,away,4.5,platt,-0.6304854053284911,1.0147386920303247,673
TR2,away,4.5,platt,-0.2998379080475728,1.5097668795777763,689
I1,away,4.5,platt,-0.2469558205399783,0.8645790276485151,749
TR1,away,4.5,platt,0.0017995233507740354,0.8809358474919523,623
D2,away,5.5,platt,0.08456895120871112,0.5968231945465359,1028
E1,away,5.5,platt,0.18217230302926474,0.945354964918395,1978
D1,away,5.5,platt,0.11165576839870309,0.7362400041667235,1132
E0,away,5.5,platt,0.20113761628474722,0.853720171905826,1379
SP1,away,5.5,platt,0.39525385427524334,1.1211001718939564,1367
SP2,away,5.5,platt,0.5702432299151422,0.5882854011143404,1240
DK1,away,5.5,platt,-0.3096670293519366,0.45064935357704927,504
SW1,away,5.5,platt,0.7831515213276726,0.3832369248101415,587
B2,away,5.5,platt,0.018500527103299826,0.3403869386885735,518
B1,away,5.5,platt,-0.2005723005797742,0.5844810377828322,642
RO1,away,5.5,platt,-0.10800687207157625,0.48153361749996726,704
SA1,away,5.5,platt,0.10127852489455388,0.9430260084520993,631
P1,away,5.5,platt,0.2466160148406994,0.9513398433390775,670
RS1,away,5.5,platt,-0.3749343137638238,0.8426516459915179,678
I2,away,5.5,platt,0.6330875947283476,0.41134123923988214,676
N1,away,5.5,platt,0.1618147334036851,0.9623216206467401,647
F1,away,5.5,platt,-0.08767399372985298,1.052867511899654,673
TR2,away,5.5,platt,0.4202228429096638,1.4345644697059154,689
I1,away,5.5,platt,0.2651490802053812,0.8681874800664612,749
TR1,away,5.5,platt,0.4931291225370142,0.9051507022338915,623
__GLOBAL__,home,2.5,platt,0.3315047497528685,0.5977313445348187,17115
__GLOBAL__,home,3.5,platt,0.5753107900860227,0.6796528995634766,17115
__GLOBAL__,home,4.5,platt,0.0764873276483068,0.6895751855587905,17115
__GLOBAL__,home,5.5,platt,0.1486921961693631,0.8289511120948981,17115
__GLOBAL__,away,2.5,platt,0.37553659065512596,0.5401220407195203,17115
__GLOBAL__,away,3.5,platt,0.7353659999882751,0.5445826090097766,17115
__GLOBAL__,away,4.5,platt,0.09273516858637232,0.6129144742735689,17115
__GLOBAL__,away,5.5,platt,0.3051598977729438,0.5962587989017835,17115
