league,team,h_for,h_against,a_for,a_against,n_home,n_away
b1,anderlecht,3.6643514515238405,1.0864048298674875,2.715299477980465,3.0591810138515028,20,20
b1,antwerp,3.0574040994600207,2.7335259692631553,1.8127193219043478,2.647078876937315,21,20
b1,beerschot va,3.629905395109356,2.9999999999999996,2.0,2.0,2,1
b1,beveren,5.0,3.0,2.9999999999999996,2.9999999999999996,1,1
b1,cercle brugge ksv,2.744520122491312,2.8809351344283387,2.1149836612998736,2.723483021838038,19,19
b1,charleroi,3.2960997251507407,2.3735610809341363,2.2612796670743505,2.0800643370353677,21,20
b1,club brugge kv,3.8474341580354423,2.5077818596488632,2.9079401566065814,2.088517507012006,19,21
b1,dender,1.660840522711654,3.8842209839283974,2.2228925991931257,3.1037361373905186,20,20
b1,genk,3.446813745718868,1.3217789276811107,3.1308134815489743,2.5045726389958514,20,20
b1,gent,1.8815447889426389,2.3925880285567547,2.5959246879837368,3.4651088002159653,21,19
b1,kortrijk,3.0,2.0,1.9801983835479626,1.5297024246780557,1,2
b1,kv mechelen,2.1569846414054727,3.3411336943112135,2.1364054911664208,2.7375707602742,20,20
b1,leuven,2.2414662008984387,1.9019940963163338,2.1658001013642316,3.63422385074561,20,20
b1,patro eisden,1.9726783095831648,3.0,2.2818509849321917,2.947109641276192,3,3
b1,raal la louviere,2.2549776419294516,2.3158225189935826,1.9102585252135098,3.1667858943161575,17,16
b1,royale union sg,3.8422711304708823,0.8659814822058715,2.4738158059953648,1.9809214758719011,20,20
b1,rwdm brussels,6.0,2.0,1.0,2.0,1,1
b1,sporting lokeren,2.0,2.0222760450837036,2.517321744832185,3.4133912758390736,2,2
b1,st. liege,1.9161532026110883,2.848875370926315,1.822152073141237,2.871023062707072,20,20
b1,st. truiden,2.717126958428211,2.417713826800797,2.052467026692364,2.4067770201541063,17,19
b1,waregem,2.3532572450981495,2.0035161830682067,1.8860482294279313,2.6042396256933342,16,17
b1,westerlo,2.5044074554192686,1.5495870354556354,2.2893881573991983,2.5801596810212315,20,20
b2,anderlecht u23,2.8123524823139183,2.53653856913913,2.2753245035640433,3.3859822914029647,16,16
b2,beerschot va,2.3217257578941686,2.0270117653945303,2.9267932919862405,1.9800268828633563,16,16
b2,beveren,2.6477741145911753,1.2509880480551083,3.56454960067145,1.5527414014597973,16,16
b2,club brugge kv u23,2.9021067419376885,2.925511748385713,2.3988391053110094,2.8493972689353466,16,16
b2,eupen,2.0824035888974906,2.4418026260210475,1.9895507558926004,2.676498390733742,16,16
b2,francs borains,2.5669414417614753,3.046701296278663,1.9193200547180305,2.1995915400864625,16,16
b2,genk u23,3.1727593676965795,2.477591571106737,2.2223498982490693,2.9439529987797832,16,16
b2,gent u23,2.8682215938275673,3.220691946948318,2.130244800762632,2.392300738554081,16,16
b2,k. lierse s.k.,1.7007213677393636,3.4786375198057633,2.0898274676308537,3.700772696059506,16,16
b2,kortrijk,3.708572247475143,2.062492096994661,1.9256416607175053,2.9237869725968686,16,16
b2,lommel sk,3.32557381591592,2.101722470887594,3.399079858318862,1.8419304493639632,16,16
b2,oc charleroi,2.3874785551186255,3.043030876796757,3.1461341989819678,3.0341544665618656,16,16
b2,patro eisden,3.1638182533070665,1.7554512380447695,3.29249047628965,1.68952271485872,16,16
b2,rfc liege,2.028663292812591,2.130141967077674,1.1812069489991592,3.5432229670641626,16,16
b2,rwdm brussels,2.7099676614606882,2.5499014568620537,2.1032206235634354,2.620703800500765,16,16
b2,seraing,2.3098175741456664,2.0505136846306895,2.4761495589454405,2.7650152807223782,16,16
b2,sporting lokeren,2.1622622177703135,2.519602624448843,2.562478717418479,2.786913926613398,16,16
