run_date,match_date,league,home_team,away_team,side,team,line,model,lambda_our,lambda_bk,scaling_factor,elo_multiplier,depletion_multiplier,absent_count,k_dispersion,p_over_raw,p_over,fair_odds_over,fair_odds_under,offered_odds_over,implied_probability,edge,odds_source,recommended
2026-04-22,2026-04-22,SP1,barcelona,celta de vigo,home,barcelona,2.5,nb,3.636,6.908,1.9,1.12,1.0,0,16.807239297812842,0.942962338531232,0.8843152206580409,1.1308184871632936,8.644179516857998,,,,missing,True
2026-04-22,2026-04-22,SP1,barcelona,celta de vigo,home,barcelona,3.5,nb,3.636,6.908,1.9,1.12,1.0,0,16.807239297812842,0.871833288910195,0.8775954039985135,1.1394772527793386,8.169627878906248,,,,missing,True
2026-04-22,2026-04-22,N1,telstar,sparta r.,home,telstar,2.5,nb,3.439,6.362,1.85,1.019,1.0,0,200.0,0.9499364971379419,0.85016481725059,1.1762425116978763,6.673999935465342,,,,missing,True
2026-04-22,2026-04-22,N1,telstar,sparta r.,home,telstar,3.5,nb,3.439,6.362,1.85,1.019,1.0,0,200.0,0.8743613842953497,0.8380305295921708,1.1932739496813463,6.174003023422016,,,,missing,True
2026-04-22,2026-04-22,B1,royale union sg,gent,home,royale union sg,2.5,nb,3.624,6.16,1.7,1.0,1.0,0,33.788690265360415,0.9296127271893192,0.8319556537703429,1.2019871437475018,5.950810142897363,,,,missing,True
2026-04-22,2026-04-22,N1,telstar,sparta r.,away,sparta r.,2.5,nb,3.506,6.487,1.85,1.009,1.0,0,12.049692281395732,0.9172571764026376,0.8178024378156556,1.2227892138240535,5.4885476403258195,,,,missing,True
2026-04-22,2026-04-22,N1,telstar,sparta r.,away,sparta r.,3.5,nb,3.506,6.487,1.85,1.009,1.0,0,12.049692281395732,0.829308408473452,0.8148882612488334,1.2271621123459049,5.4021425477734475,,,,missing,True
2026-04-22,2026-04-22,B1,club brugge kv,kv mechelen,home,club brugge kv,2.5,nb,3.319,5.643,1.7,1.0,1.0,0,33.788690265360415,0.9032089921840128,0.8001277144175527,1.249800478074857,5.003194900613172,,,,missing,True
2026-04-22,2026-04-22,SP1,real sociedad,getafe,home,real sociedad,2.5,nb,2.931,5.569,1.9,0.995,1.0,0,16.807239297812842,0.8822775255508277,0.7999040196193596,1.250149987339553,4.997601641460818,,,,missing,True
2026-04-22,2026-04-22,F1,psg,fc nantes,home,psg,2.5,nb,3.234,6.145,1.9,1.125,1.0,0,13.770660171331432,0.9071960821437991,0.7996426827922771,1.250558557614876,4.991083000793218,,,,missing,True
2026-04-22,2026-04-22,E1,middlesbrough,sheff wed,home,middlesbrough,3.5,nb,2.924,6.141,2.1,1.101,1.0,0,12.14753599691264,0.8032868389467622,0.7968373975507677,1.2549611791234843,4.922165732986644,,,,missing,True
