surface,match_date,winner,loser,score,s1_score,s1_type,s2_score,actual_tb_s2,p_hold_w,p_hold_l,tb_base,tb_adj,delta_tb,p_adj_w,p_adj_l
Grass,2015-06-08,Marina Erakovic,Carina Witthoeft,6-4 7-6(5),6-4,Normal,7-6,1,0.8852,0.7949,0.2449,0.2449,0.0,0.8852,0.7949
Grass,2015-06-08,Yaroslava Shvedova,Marina Erakovic,6-4 6-4,6-4,Normal,6-4,0,0.9112,0.8062,0.2641,0.2608,-0.0033,0.9,0.8062
Grass,2015-06-08,Kristina Mladenovic,Kurumi Nara,6-7(4) 6-3 6-3,6-7,TB,6-3,0,0.7655,0.6145,0.1323,0.1439,0.0116,0.7196,0.6391
Grass,2015-06-08,Annika Beck,Klara Koukalova,6-4 6-4,6-4,Normal,6-4,0,0.5219,0.4269,0.117,0.117,0.0,0.5219,0.4269
Grass,2015-06-08,Monica Puig,Lucie Hradecka,7-6(5) 7-6(5),7-6,TB,7-6,1,0.9092,0.863,0.3371,0.2665,-0.0706,0.9,0.8112
Grass,2015-06-08,Jelena Jankovic,Annika Beck,6-4 6-1,6-4,Normal,6-1,0,0.8371,0.4207,0.041,0.041,0.0,0.8371,0.4207
Grass,2015-06-08,Kristina Mladenovic,Timea Babos,7-6(4) 4-6 6-2,7-6,TB,4-6,0,0.8269,0.7926,0.2246,0.1987,-0.0258,0.86,0.745
Grass,2015-06-08,Kiki Bertens,Anastasia Pavlyuchenkova,6-2 6-2,6-2,Blowout,6-2,0,0.9065,0.6256,0.1041,0.1237,0.0196,0.8703,0.6381
Grass,2015-06-08,Yaroslava Shvedova,Eugenie Bouchard,6-4 1-6 6-4,6-4,Normal,1-6,0,0.7121,0.7669,0.172,0.172,0.0,0.7121,0.7669
Grass,2015-06-08,Jelena Jankovic,Andrea Hlavackova,6-1 6-4,6-1,Blowout,6-4,0,0.9661,0.6801,0.1178,0.1541,0.0363,0.9,0.6937
Grass,2015-06-08,Camila Giorgi,Michaella Krajicek,6-7(2) 6-2 6-4,6-7,TB,6-2,0,0.983,0.7966,0.2576,0.2864,0.0288,0.9,0.8285
Grass,2015-06-08,Camila Giorgi,Yaroslava Shvedova,4-6 6-3 7-6(9),4-6,Normal,6-3,0,0.9239,0.7908,0.2476,0.244,-0.0036,0.9,0.7908
Grass,2015-06-08,Andrea Hlavackova,Lesia Tsurenko,6-2 2-6 6-3,6-2,Blowout,2-6,0,0.7263,0.7694,0.1778,0.1673,-0.0106,0.6972,0.7848
Grass,2015-06-08,Kurumi Nara,Kirsten Flipkens,1-6 7-6(4) 6-4,1-6,Blowout,7-6,1,0.6252,0.7806,0.135,0.1428,0.0079,0.6377,0.7493
Grass,2015-06-08,Belinda Bencic,Jelena Jankovic,6-3 6-3,6-3,Normal,6-3,0,0.8398,0.5886,0.1051,0.1051,0.0,0.8398,0.5886
Grass,2015-06-08,Alison Van Uytvanck,Evgeniya Rodina,7-5 6-3,7-5,7-5,6-3,0,0.8062,0.5828,0.1109,0.0912,-0.0197,0.8304,0.5536
Grass,2015-06-08,Kiki Bertens,Shuai Zhang,7-6(7) 6-1,7-6,TB,6-1,0,0.8193,0.6364,0.1345,0.1065,-0.028,0.852,0.5982
