bucket,p_mean,y_mean,count,gap,surface,market
0.0-0.1,0.08461422043167115,0.03773584905660377,159,0.046878371375067375,Hard,match_winner
0.1-0.2,0.15944536518667618,0.14548361310951238,1251,0.013961752077163797,Hard,match_winner
0.2-0.3,0.25416459738908764,0.25611090842758116,2741,-0.00194631103849352,Hard,match_winner
0.3-0.4,0.3528139793863991,0.3555934681940044,4103,-0.0027794888076053126,Hard,match_winner
0.4-0.5,0.448692774161843,0.4755753875058713,4258,-0.026882613344028305,Hard,match_winner
0.5-0.6,0.5513072258381571,0.5244246124941288,4258,0.026882613344028305,Hard,match_winner
0.6-0.7,0.647186020613601,0.6444065318059956,4103,0.002779488807605368,Hard,match_winner
0.7-0.8,0.7458354026109123,0.7438890915724188,2741,0.00194631103849352,Hard,match_winner
0.8-0.9,0.8405546348133239,0.8545163868904876,1251,-0.013961752077163658,Hard,match_winner
0.9-1.0,0.915385779568329,0.9622641509433962,159,-0.04687837137506723,Hard,match_winner
0.0-0.1,0.09709618875166363,0.09709618874773139,3306,3.932243419768611e-12,Hard,tiebreak
0.1-0.2,0.11824434981984933,0.11824434981984933,9159,0.0,Hard,tiebreak
0.7-0.8,0.777832045596945,0.7818612922347362,1687,-0.004029246637791251,Hard,set1_over_7_5
0.8-0.9,0.8386795544627913,0.8380039102504422,10741,0.0006756442123491135,Hard,set1_over_7_5
0.9-1.0,0.9066167526663659,0.918918918918919,37,-0.012302166252553093,Hard,set1_over_7_5
0.3-0.4,0.3736921818104879,0.3734610123119015,2193,0.00023116949858642544,Hard,set1_over_9_5
0.4-0.5,0.4359869736387052,0.43628741347372524,10257,-0.0003004398350200388,Hard,set1_over_9_5
0.5-0.6,0.5049855539202308,0.3333333333333333,15,0.1716522205868975,Hard,set1_over_9_5
0.0-0.1,0.08643381895921987,0.029411764705882353,34,0.05702205425333751,Clay,match_winner
0.1-0.2,0.16021561526452685,0.14601769911504425,452,0.014197916149482598,Clay,match_winner
0.2-0.3,0.25496083752147874,0.24456521739130435,920,0.010395620130174393,Clay,match_winner
0.3-0.4,0.3529061099318349,0.3640463917525773,1552,-0.011140281820742393,Clay,match_winner
0.4-0.5,0.4482734512434951,0.48242074927953893,1735,-0.03414729803604383,Clay,match_winner
0.5-0.6,0.5517265260895234,0.5175792507204611,1735,0.03414727536906237,Clay,match_winner
0.6-0.7,0.6470938691425451,0.6359536082474226,1552,0.011140260895122434,Clay,match_winner
0.7-0.8,0.7450391450835003,0.7554347826086957,920,-0.010395637525195345,Clay,match_winner
0.8-0.9,0.8397843724320848,0.8539823008849557,452,-0.014197928452870934,Clay,match_winner
0.9-1.0,0.9135661737884513,0.9705882352941176,34,-0.057022061505666355,Clay,match_winner
0.0-0.1,0.09265657130945618,0.09287624604911257,4113,-0.00021967473965639472,Clay,tiebreak
0.1-0.2,0.1239325517441019,0.12234042553191489,564,0.0015921262121870033,Clay,tiebreak
0.7-0.8,0.7769512745191717,0.7845923709798055,1337,-0.007641096460633823,Clay,set1_over_7_5
0.8-0.9,0.8209988819495616,0.8179095537586104,3339,0.0030893281909512016,Clay,set1_over_7_5
0.9-1.0,0.9010035366241101,1.0,1,-0.09899646337588985,Clay,set1_over_7_5
0.3-0.4,0.37073567260567414,0.3712871287128713,1212,-0.0005514561071971458,Clay,set1_over_9_5
0.4-0.5,0.4281630960946032,0.4281177829099307,3464,4.531318467249079e-05,Clay,set1_over_9_5
0.5-0.6,0.5068081612595816,0.0,1,0.5068081612595816,Clay,set1_over_9_5
0.0-0.1,0.09146772779090623,0.0,4,0.09146772779090623,Grass,match_winner
0.1-0.2,0.16671359467494476,0.08333333333333333,24,0.08338026134161143,Grass,match_winner
0.2-0.3,0.2586455985484822,0.3150684931506849,73,-0.05642289460220273,Grass,match_winner
0.3-0.4,0.3470050380899424,0.3475177304964539,141,-0.0005126924065115279,Grass,match_winner
0.4-0.5,0.4484404093215835,0.4552238805970149,134,-0.006783471275431385,Grass,match_winner
0.5-0.6,0.5515596553596831,0.5447761194029851,134,0.006783535956698006,Grass,match_winner
0.6-0.7,0.6529950211363273,0.6524822695035462,141,0.0005127516327811943,Grass,match_winner
0.7-0.8,0.741354451524541,0.684931506849315,73,0.05642294467522602,Grass,match_winner
0.8-0.9,0.8332864416194704,0.9166666666666666,24,-0.08338022504719622,Grass,match_winner
0.9-1.0,0.9085322939965654,1.0,4,-0.09146770600343457,Grass,match_winner
0.0-0.1,0.07975460125766871,0.07975460122699386,163,3.067485154772953e-11,Grass,tiebreak
0.1-0.2,0.17098445595854922,0.17098445595854922,193,0.0,Grass,tiebreak
0.7-0.8,0.7781942593031865,0.775,40,0.0031942593031865085,Grass,set1_over_7_5
0.8-0.9,0.8475621100703803,0.8452012383900929,323,0.002360871680287424,Grass,set1_over_7_5
0.9-1.0,0.9110570950158795,1.0,10,-0.0889429049841205,Grass,set1_over_7_5
0.3-0.4,0.39042651735235157,0.5,12,-0.10957348264764843,Grass,set1_over_9_5
0.4-0.5,0.4468554002263822,0.44321329639889195,361,0.0036421038274902506,Grass,set1_over_9_5
