surface,market,method,a,b,temperature,n_train,x_breaks,y_values
Clay,match_winner,platt,0.0,0.7111035729764177,0.9999993689042975,8872,,
Clay,set1_over_7_5,platt,0.749317103396666,0.35873344296672577,1.0,4422,,
Clay,set1_over_9_5,platt,-0.28914918300992926,0.38581577388129107,1.0,4422,,
Clay,tiebreak,isotonic,0.0,0.0,1.0,4422,"[1e-09, 0.052160891168823637, 0.07683038757831705, 0.19061903138523104, 0.20562713152127063, 0.7216483080802512]","[1e-09, 0.08687258687258688, 0.08914728682170543, 0.09490740740740741, 0.10843373493975904, 0.11992619926199262]"
Grass,match_winner,platt,6.704786969934036e-07,0.8789146006016688,1.0000003431263849,706,,
Grass,set1_over_7_5,platt,0.7642664373222368,0.3581055513810399,1.0,350,,
Grass,set1_over_9_5,platt,-0.25099939380139535,0.29575344935885967,1.0,350,,
Grass,tiebreak,isotonic,0.0,0.0,1.0,333,"[0.007672456443377936, 0.010150727544815526, 0.01608733898767427, 0.11120856007906918, 0.14128270584814015, 0.5, 0.5, 0.5, 0.5]","[1e-09, 1e-09, 1e-09, 0.08695652173913043, 0.10416666666666667, 0.16447368421052633, 0.2, 0.3333333333333333, 0.5]"
Hard,match_winner,platt,3.3226971733298255e-07,0.8730515097571819,1.0000007382424063,24780,,
Hard,set1_over_7_5,platt,0.6186433183907458,0.45184767982238866,1.0,12343,,
Hard,set1_over_9_5,platt,-0.2665367374248629,0.4105024256904049,1.0,12343,,
Hard,tiebreak,isotonic,0.0,0.0,1.0,12343,"[1e-09, 1e-09, 1e-09, 1e-09, 1.2152234159237174e-09, 3.6524863566498817e-09, 5.7692221932869065e-09, 9.80350457719682e-09, 1.4533048652856081e-08, 5.2629593073402315e-08, 0.010613390763563994, 0.02631322544996306, 0.06109170979966249, 0.07494229022545283, 0.0951263706927241, 0.11360514877730116, 0.12539491502780764, 0.16831120934036883, 0.6945324234095415]","[1e-09, 1e-09, 1e-09, 1e-09, 1e-09, 1e-09, 1e-09, 1e-09, 1e-09, 1e-09, 0.08542713567839195, 0.0875, 0.09784836065573771, 0.10338680926916222, 0.1049654305468259, 0.10699588477366255, 0.11409395973154363, 0.12097304404996713, 0.1252200150867488]"
__GLOBAL__,match_winner,platt,-2.6935361217544084e-07,0.8264123125001772,1.0000050467459598,34358,,
__GLOBAL__,set1_over_7_5,platt,0.6395884431533706,0.43423310042569235,1.0,17115,,
__GLOBAL__,set1_over_9_5,platt,-0.2715335275014815,0.4075314561518218,1.0,17115,,
__GLOBAL__,tiebreak,isotonic,0.0,0.0,1.0,17098,"[1e-09, 1e-09, 1e-09, 1e-09, 1e-09, 1.2152234159237174e-09, 0.028993055065314882, 0.0567265020866996, 0.07226024470361217, 0.0751955936086007, 0.07709005367249297, 0.11372224259512029, 0.14694957384465596, 0.1600470313662672, 0.16831120934036883, 0.7216483080802512]","[1e-09, 1e-09, 1e-09, 1e-09, 1e-09, 1e-09, 0.09308510638297872, 0.09430959013131715, 0.09819532908704884, 0.0989010989010989, 0.1013215859030837, 0.10250757784513641, 0.11160714285714286, 0.11538461538461539, 0.11619718309859155, 0.1240516711092885]"
