run_date,match_date,tournament,level,surface,round,player_a,player_b,data_source,p_hold_a,p_hold_b,p_markov,p_elo,p_elo_classic,days_rest_a,days_rest_b,last_3sets_a,last_3sets_b,had_3sets_7d_a,had_3sets_7d_b,fatigue_flag_a,fatigue_flag_b,expected_games,unstable_reason,predicted_winner,p_raw,p_cal,Chances,fair_odds,recommended
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Iga Swiatek,Emiliana Arango,sackmann/sackmann,0.8195,0.3982,0.9928,0.926,0.8349,14.0,2,True,False,False,True,False,True,17.44,extreme p_match=0.9928,Iga Swiatek,0.9661,0.9346,93.5%,1.07,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Marta Kostyuk,Sofia Kenin,sackmann/sackmann,0.8008,0.5814,0.9089,0.8401,0.6806,14.0,1,True,True,False,True,False,True,21.59,,Marta Kostyuk,0.8814,0.8309,83.1%,1.2035,True
2026-08-16,2026-08-16T11:00-04:00,CINCINNATI,WTA 1000,Hard,6,Oleksandra Oliynykova,Mirra Andreeva,tennisabstract/sackmann,0.5855,0.7376,0.1949,,,,14,,False,False,False,False,False,23.21,,Mirra Andreeva,0.1949,0.7551,75.5%,1.3243,True
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Anna Blinkova,Ekaterina Alexandrova,sackmann/sackmann,0.5249,0.7177,0.1419,0.3449,0.3772,2.0,14,True,True,True,False,True,False,22.23,,Ekaterina Alexandrova,0.2231,0.7292,72.9%,1.3714,True
2026-08-16,2026-08-16T15:00-04:00,CINCINNATI,WTA 1000,Hard,6,Aryna Sabalenka,Talia Gibson,sackmann/sackmann,0.8782,0.8341,0.6712,0.9199,0.8432,62.0,2,True,True,False,True,False,True,25.86,,Aryna Sabalenka,0.7707,0.7236,72.4%,1.382,True
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Shuai Zhang,Ann Li,sackmann/sackmann,0.7643,0.5891,0.852,0.49,0.4863,1.0,14,True,False,True,False,True,False,22.46,,Shuai Zhang,0.7072,0.6682,66.8%,1.4966,True
2026-08-16,2026-08-16T19:00-04:00,CINCINNATI,WTA 1000,Hard,6,Coco Gauff,Liudmila Samsonova,sackmann/sackmann,0.6464,0.6253,0.5524,0.866,0.7453,14.0,2,True,True,False,True,False,True,24.49,,Coco Gauff,0.6778,0.6435,64.3%,1.5541,True
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Daria Snigur,Madison Keys,sackmann/sackmann,0.8085,0.5903,0.91,0.3059,0.4008,2.0,14,False,False,False,False,False,False,21.55,,Daria Snigur,0.6684,0.6356,63.6%,1.5733,True
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Katerina Siniakova,Jessica Bouzas Maneiro,sackmann/sackmann,0.6309,0.5801,0.614,0.6517,0.5943,14.0,2,True,False,False,False,False,False,24.12,,Katerina Siniakova,0.6291,0.6034,60.3%,1.6574,False
2026-08-16,2026-08-16T11:00-04:00,CINCINNATI,WTA 1000,Hard,6,Janice Tjen,Viktorija Golubic,sackmann/sackmann,0.6761,0.5957,0.6792,0.533,0.5776,20.0,2,False,False,False,False,False,False,23.91,,Janice Tjen,0.6207,0.5965,59.7%,1.6763,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Tamara Korpatsch,Iva Jovic,sackmann/sackmann,0.639,0.6607,0.4569,0.2639,0.3756,2.0,14,True,False,True,False,True,False,24.39,,Iva Jovic,0.3797,0.5962,59.6%,1.6772,False
2026-08-16,2026-08-16T20:30-04:00,CINCINNATI,WTA 1000,Hard,6,Tereza Valentova,Elina Svitolina,tennisabstract/sackmann,0.628,0.6783,0.3934,,,,14,,True,False,False,False,False,24.34,,Elina Svitolina,0.3934,0.5851,58.5%,1.7091,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Sloane Stephens,Anastasia Potapova,sackmann/sackmann,0.6708,0.5233,0.795,0.3169,0.4095,2.0,14,False,False,False,False,False,False,22.85,,Sloane Stephens,0.6037,0.5828,58.3%,1.7159,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Leylah Fernandez,Xiyu Wang,sackmann/sackmann,0.6655,0.7626,0.2868,0.6479,0.5783,14.0,2,False,False,False,False,False,False,24.23,,Xiyu Wang,0.4313,0.5547,55.5%,1.8028,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Marie Bouzkova,Lucrezia Stefanini,sackmann/sackmann,0.5169,0.6217,0.286,0.6941,0.6302,27.0,3,True,False,False,False,False,False,23.54,,Lucrezia Stefanini,0.4492,0.5404,54.0%,1.8506,False
2026-08-16,2026-08-16T11:00-04:00,CINCINNATI,WTA 1000,Hard,6,Taylor Townsend,Elena Rybakina,sackmann/sackmann,0.853,0.8045,0.6654,0.1307,0.2396,3.0,14,True,True,True,False,True,False,25.46,,Elena Rybakina,0.4515,0.5385,53.9%,1.8569,False
2026-08-16,2026-08-16T11:00-04:00,CINCINNATI,WTA 1000,Hard,6,Barbora Krejcikova,Sara Bejlek,sackmann/sackmann,0.6436,0.6684,0.45,0.5977,0.5373,29.0,2,True,False,False,False,False,False,24.46,,Barbora Krejcikova,0.5091,0.5072,50.7%,1.9715,False
