run_date,match_date,tournament,level,surface,round,player_a,player_b,data_source,p_hold_a,p_hold_b,p_markov,p_elo,p_elo_classic,days_rest_a,days_rest_b,last_3sets_a,last_3sets_b,had_3sets_7d_a,had_3sets_7d_b,fatigue_flag_a,fatigue_flag_b,expected_games,unstable_reason,p_raw,p_cal,p_cal_adj,blowout_score,competitive_set,elite_pick,O7.5,U12.5,hold_asym,min_hold,bci,premium_elite,premium_u125,danger_zone,tb_p_raw,tb_p_cal
2026-07-20,2026-07-20T23:59+02:00,PRAGUE,WTA 250,Hard,5,Alycia Parks,Lucie Havlickova,sackmann/sackmann,0.6575,0.7203,0.3639,0.6715,0.5278,3,6,False,True,True,True,True,False,24.43,,0.9253,0.8579,0.8579,2,True,False,no,no,0.0628,0.6575,0.0215,no,no,no,0.1326,0.1242
2026-07-20,2026-07-20T23:59+02:00,PRAGUE,WTA 250,Hard,5,Ayla Aksu,Sofia Costoulas,sackmann/sackmann,0.619,0.6785,0.3734,0.3342,0.381,1,1,False,False,False,True,False,True,24.24,,0.9095,0.8448,0.8448,5,False,False,no,YES,0.0595,0.619,0.0227,no,no,no,0.0339,0.0987
2026-07-20,2026-07-20T23:59+02:00,PRAGUE,WTA 250,Hard,5,Antonia Ruzic,Dominika Salkova,sackmann/sackmann,0.5863,0.7042,0.2564,0.6513,0.5662,21,1,True,False,False,False,False,False,23.56,,0.9044,0.8408,0.8408,9,False,False,no,YES,0.1179,0.5863,0.0488,no,no,no,0.0777,0.1062
2026-07-20,2026-07-20T23:59+02:00,PRAGUE,WTA 250,Hard,5,Marie Bouzkova,Jessica Bouzas Maneiro,sackmann/sackmann,0.6074,0.6197,0.4771,0.6389,0.6035,21,7,False,False,False,False,False,False,24.35,,0.903,0.8398,0.8398,7,False,False,no,YES,0.0122,0.6074,0.0048,no,no,no,0.0506,0.0987
2026-07-20,2026-07-20T11:00+02:00,PRAGUE,WTA 250,Hard,5,Alisa Oktiabreva,Oceane Dodin,sackmann/sackmann,0.5666,0.5226,0.5954,0.4737,0.0,1,14,False,False,True,False,True,False,24.13,fatigue Alisa Oktiabreva (36 matches last 5d),0.8895,0.8298,0.8298,7,False,False,no,YES,0.044,0.5226,0.021,no,no,no,0.0852,0.1062
2026-07-20,2026-07-20T17:00+02:00,PALERMO 125,WTA 125,Clay,5,Lina Gjorcheska,Erika Andreeva,sackmann/sackmann,0.5643,0.6384,0.3448,0.581,0.5863,7,3,True,False,True,True,False,True,23.9,,0.9005,0.8253,0.7953,8,False,False,no,YES,0.0741,0.5643,0.0323,no,no,no,0.043,0.0932
2026-07-20,2026-07-20T17:00+02:00,PALERMO 125,WTA 125,Clay,5,Sofya Lansere,Lola Radivojevic,sackmann/sackmann,0.5694,0.6199,0.394,0.4018,0.4595,5,5,False,False,True,False,False,False,24.12,,0.8996,0.8247,0.7947,9,False,False,no,YES,0.0505,0.5694,0.0217,no,no,no,0.0448,0.0932
2026-07-20,2026-07-20T20:00+02:00,PALERMO 125,WTA 125,Clay,5,Federica Urgesi,Elizara Yaneva,sackmann/sackmann,0.4131,0.4131,0.4969,0.5,0.5,1,1,False,False,True,True,True,True,24.24,fatigue Federica Urgesi (36 matches last 5d),0.8955,0.8219,0.7919,9,False,False,no,YES,0.0,0.4131,0.0,no,no,YES,0.0508,0.0932
2026-07-20,2026-07-20T23:59+02:00,PALERMO 125,WTA 125,Clay,5,Fiona Ferro,Yufei Ren,sackmann/sackmann,0.5065,0.5866,0.3338,0.7299,0.6197,6,1,True,False,True,True,False,True,23.71,,0.8886,0.8175,0.7875,11,False,False,no,YES,0.0801,0.5065,0.0395,no,no,no,0.0408,0.0932
2026-07-20,2026-07-20T23:59+02:00,PALERMO 125,WTA 125,Clay,5,Ekaterine Gorgodze,Ane Mintegi Del Olmo,sackmann/sackmann,0.4478,0.5331,0.3224,0.6132,1.0,42,1,False,False,False,True,False,True,23.67,fatigue Ane Mintegi Del Olmo (36 matches last 5d),0.8809,0.8126,0.7826,11,False,False,no,YES,0.0854,0.4478,0.0472,no,no,YES,0.0477,0.0932
2026-07-20,2026-07-20T23:59+02:00,PRAGUE,WTA 250,Hard,5,Veronika Podrez,Carol Young Suh Lee,sackmann/sackmann,0.4807,0.6638,0.1592,0.3049,0.0,1,1,False,False,True,True,True,True,22.4,fatigue Veronika Podrez (36 matches last 5d),0.8604,0.8102,0.8102,7,False,False,no,YES,0.1831,0.4807,0.0951,no,no,no,0.0761,0.1062
2026-07-20,2026-07-20T23:59+02:00,PALERMO 125,WTA 125,Clay,5,Alessandra Mazzola,Dalila Spiteri,sackmann/sackmann,0.4283,0.548,0.2587,0.4423,0.0,1,7,False,True,True,True,True,False,23.28,fatigue Alessandra Mazzola (36 matches last 5d),0.8692,0.8056,0.7756,11,False,False,no,YES,0.1197,0.4283,0.0684,no,no,YES,0.031,0.0825
2026-07-20,2026-07-20T18:30+02:00,PALERMO 125,WTA 125,Clay,5,Amarissa Toth,Jennifer Ruggeri,sackmann/sackmann,0.3658,0.4964,0.2361,0.19,1.0,1,1,False,False,False,True,False,True,23.08,fatigue Jennifer Ruggeri (36 matches last 5d),0.8655,0.8035,0.7735,11,False,False,no,YES,0.1306,0.3658,0.0828,no,no,no,0.0331,0.0825
2026-07-20,2026-07-20T23:59+02:00,HAMBURG,WTA 250,Clay,10,Eva Vedder,Mona Barthel,sackmann/sackmann,0.6684,0.5235,0.7906,0.6032,0.4867,1,1,True,True,True,True,True,True,22.89,,0.8637,0.8024,0.7724,9,False,False,no,YES,0.1449,0.5235,0.069,no,no,no,0.0485,0.0932
2026-07-20,2026-07-20T10:00+02:00,HAMBURG,WTA 250,Clay,10,Jule Niemeier,Elena Malygina,sackmann/sackmann,0.442,0.6069,0.1865,0.6498,0.4992,1,1,True,False,True,True,True,True,22.53,,0.8587,0.7996,0.7696,11,False,False,no,YES,0.1649,0.442,0.092,no,no,YES,0.0331,0.0825
2026-07-20,2026-07-20T10:00+02:00,HAMBURG,WTA 250,Clay,10,Varvara Lepchenko,Elina Avanesyan,sackmann/sackmann,0.561,0.3309,0.8953,0.3938,0.449,1,5,False,False,True,False,True,False,21.47,,0.8336,0.7862,0.7562,11,False,False,no,YES,0.2301,0.3309,0.154,no,YES,no,0.0189,0.0825
2026-07-20,2026-07-20T17:00+02:00,PALERMO 125,WTA 125,Clay,5,Yasmine Kabbaj,Deborah Chiesa,sackmann/sackmann,0.4818,0.7747,0.0483,0.4279,0.5008,7,3,True,True,True,True,False,True,20.22,,0.8169,0.7778,0.7478,11,False,False,no,YES,0.2929,0.4818,0.1518,no,YES,no,0.0529,0.0932
2026-07-20,2026-07-20T23:59+02:00,HAMBURG,WTA 250,Clay,10,Arantxa Rus,Chloe Paquet,sackmann/sackmann,0.4268,0.7466,0.0373,0.2851,0.3845,1,1,False,True,True,True,True,True,19.67,,0.7856,0.763,0.733,11,False,False,no,YES,0.3197,0.4268,0.1832,no,YES,YES,0.0279,0.0825
2026-07-20,2026-07-20T10:00+02:00,HAMBURG,WTA 250,Clay,10,Jessica Pieri,Maria Lourdes Carle,sackmann/sackmann,0.2788,0.5808,0.0463,0.0214,0.2456,1,1,False,False,False,True,False,True,19.79,,0.7582,0.7509,0.7209,11,False,False,no,YES,0.302,0.2788,0.2178,no,YES,no,0.0243,0.0825
2026-07-20,2026-07-20T11:00+02:00,PRAGUE,WTA 250,Hard,5,Ella Seidel,Daria Snigur,sackmann/sackmann,0.4396,0.8479,0.0079,0.2504,0.3865,35,28,False,False,False,False,False,False,17.94,extreme p_match=0.0079,0.7322,0.7404,0.7404,9,False,False,no,YES,0.4084,0.4396,0.2289,no,YES,YES,0.0464,0.0987
