run_date,match_date,tournament,level,surface,round,player_a,player_b,data_source,p_hold_a,p_hold_b,p_markov,p_elo,p_elo_classic,days_rest_a,days_rest_b,last_3sets_a,last_3sets_b,had_3sets_7d_a,had_3sets_7d_b,fatigue_flag_a,fatigue_flag_b,expected_games,unstable_reason,p_raw,p_cal,Chances,fair_odds,recommended
2026-08-16,2026-08-16T15:00-04:00,CINCINNATI,WTA 1000,Hard,6,Aryna Sabalenka,Talia Gibson,sackmann/sackmann,0.8782,0.8341,0.6712,0.9199,0.8432,62.0,2,True,True,False,True,False,True,25.86,,0.6191,0.4874,48.7%,2.0517,False
2026-08-16,2026-08-16T11:00-04:00,CINCINNATI,WTA 1000,Hard,6,Taylor Townsend,Elena Rybakina,sackmann/sackmann,0.853,0.8045,0.6654,0.1307,0.2396,3.0,14,True,True,True,False,True,False,25.46,,0.5892,0.4741,47.4%,2.1092,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Leylah Fernandez,Xiyu Wang,sackmann/sackmann,0.6655,0.7626,0.2868,0.6479,0.5783,14.0,2,False,False,False,False,False,False,24.23,,0.5383,0.4522,45.2%,2.2117,False
2026-08-16,2026-08-16T20:30-04:00,CINCINNATI,WTA 1000,Hard,6,Tereza Valentova,Elina Svitolina,tennisabstract/sackmann,0.628,0.6783,0.3934,,,,14,,True,False,False,False,False,24.34,,0.5122,0.4412,44.1%,2.2668,False
2026-08-16,2026-08-16T11:00-04:00,CINCINNATI,WTA 1000,Hard,6,Barbora Krejcikova,Sara Bejlek,sackmann/sackmann,0.6436,0.6684,0.45,0.5977,0.5373,29.0,2,True,False,False,False,False,False,24.46,,0.5109,0.4406,44.1%,2.2696,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Tamara Korpatsch,Iva Jovic,sackmann/sackmann,0.639,0.6607,0.4569,0.2639,0.3756,2.0,14,True,False,True,False,True,False,24.39,,0.508,0.4394,43.9%,2.2759,False
2026-08-16,2026-08-16T19:00-04:00,CINCINNATI,WTA 1000,Hard,6,Coco Gauff,Liudmila Samsonova,sackmann/sackmann,0.6464,0.6253,0.5524,0.866,0.7453,14.0,2,True,True,False,True,False,True,24.49,,0.5038,0.4376,43.8%,2.2851,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Katerina Siniakova,Jessica Bouzas Maneiro,sackmann/sackmann,0.6309,0.5801,0.614,0.6517,0.5943,14.0,2,True,False,False,False,False,False,24.12,,0.4886,0.4312,43.1%,2.3189,False
2026-08-16,2026-08-16T11:00-04:00,CINCINNATI,WTA 1000,Hard,6,Oleksandra Oliynykova,Mirra Andreeva,tennisabstract/sackmann,0.5855,0.7376,0.1949,,,,14,,False,False,False,False,False,23.21,,0.4879,0.431,43.1%,2.3204,False
2026-08-16,2026-08-16T11:00-04:00,CINCINNATI,WTA 1000,Hard,6,Janice Tjen,Viktorija Golubic,sackmann/sackmann,0.6761,0.5957,0.6792,0.533,0.5776,20.0,2,False,False,False,False,False,False,23.91,,0.4811,0.4281,42.8%,2.3359,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Marie Bouzkova,Lucrezia Stefanini,sackmann/sackmann,0.5169,0.6217,0.286,0.6941,0.6302,27.0,3,True,False,False,False,False,False,23.54,,0.4754,0.4257,42.6%,2.349,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Anna Blinkova,Ekaterina Alexandrova,sackmann/sackmann,0.5249,0.7177,0.1419,0.3449,0.3772,2.0,14,True,True,True,False,True,False,22.23,,0.4476,0.4141,41.4%,2.4147,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Sloane Stephens,Anastasia Potapova,sackmann/sackmann,0.6708,0.5233,0.795,0.3169,0.4095,2.0,14,False,False,False,False,False,False,22.85,,0.4428,0.4121,41.2%,2.4265,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Shuai Zhang,Ann Li,sackmann/sackmann,0.7643,0.5891,0.852,0.49,0.4863,1.0,14,True,False,True,False,True,False,22.46,,0.4253,0.4048,40.5%,2.4706,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Marta Kostyuk,Sofia Kenin,sackmann/sackmann,0.8008,0.5814,0.9089,0.8401,0.6806,14.0,1,True,True,False,True,False,True,21.59,,0.3876,0.3888,38.9%,2.5719,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Daria Snigur,Madison Keys,sackmann/sackmann,0.8085,0.5903,0.91,0.3059,0.4008,2.0,14,False,False,False,False,False,False,21.55,,0.3824,0.3866,38.7%,2.5865,False
2026-08-16,2026-08-16T23:59-04:00,CINCINNATI,WTA 1000,Hard,6,Iga Swiatek,Emiliana Arango,sackmann/sackmann,0.8195,0.3982,0.9928,0.926,0.8349,14.0,2,True,False,False,True,False,True,17.44,extreme p_match=0.9928,0.1904,0.2944,29.4%,3.397,False
