run_date,match_date,tournament,level,surface,round,player_a,player_b,p_hold_a,p_hold_b,hold_asym,min_hold,bci,blowout_score,fatigue_flag_a,fatigue_flag_b,unstable_reason,tb_p_raw,tb_p_cal,p_u125,premium_elite,premium_u125,danger_zone,recommended
2026-07-18,2026-07-18T17:00+02:00,PALERMO 125,WTA 125,Clay,11,Miriana Tona,Dalila Spiteri,0.6118,0.3807,0.231,0.3807,0.143,11,True,False,,0.0248,0.0865,0.9135,no,YES,no,True
2026-07-18,2026-07-18T23:59+02:00,PALERMO 125,WTA 125,Clay,11,Lucija Ciric Bagaric,Amarissa Toth,0.3952,0.4545,0.0592,0.3952,0.0358,9,False,False,,0.0214,0.0865,0.9135,no,no,no,True
2026-07-18,2026-07-18T17:00+02:00,PALERMO 125,WTA 125,Clay,11,Federica Urgesi,Yelyzaveta Kotliar,0.5392,0.5392,0.0,0.5392,0.0,9,True,True,hold_diff 0.0000 < 0.01,0.0345,0.0865,0.9135,no,no,no,True
2026-07-18,2026-07-18T17:00+03:00,IASI,WTA 250,Clay,2,Mayar Sherif,Oleksandra Oliynykova,0.579,0.545,0.0339,0.545,0.0154,7,True,True,,0.052,0.0927,0.9073,no,no,no,True
2026-07-18,2026-07-18T11:30+02:00,KITZBHUEL 125,WTA 125,Clay,2,Marina Bassols Ribera,Sinja Kraus,0.5216,0.5272,0.0056,0.5216,0.0027,7,True,False,hold_diff 0.0056 < 0.01,0.0568,0.0927,0.9073,no,no,no,True
2026-07-18,2026-07-18T23:59+03:00,IASI,WTA 250,Clay,2,Paula Badosa,Tamara Zidansek,0.6671,0.3858,0.2812,0.3858,0.1727,7,True,True,,0.0452,0.0927,0.9073,no,YES,no,True
2026-07-18,2026-07-18T16:00+02:00,ROME 125,WTA 125,Clay,2,Lucia Bronzetti,Nuria Brancaccio,0.6717,0.4876,0.1841,0.4876,0.0943,7,True,True,,0.0403,0.0927,0.9073,no,no,no,True
2026-07-18,2026-07-18T23:59+02:00,ROME 125,WTA 125,Clay,2,Martina Trevisan,Francesca Jones,0.378,0.6511,0.2731,0.378,0.1699,7,True,True,,0.0381,0.0927,0.9073,no,YES,no,True
2026-07-18,2026-07-18T18:00+02:00,PALERMO 125,WTA 125,Clay,11,Rasheeda McAdoo,Isabella Shinikova,0.5067,0.5541,0.0474,0.5067,0.0234,9,True,False,,0.0538,0.0927,0.9073,no,no,no,True
2026-07-18,2026-07-18T23:59+02:00,KITZBHUEL 125,WTA 125,Clay,2,Veronika Erjavec,Julia Grabher,0.7039,0.5168,0.187,0.5168,0.0904,9,True,True,,0.0434,0.0927,0.9073,no,no,no,True
2026-07-18,2026-07-18T18:00+02:00,PALERMO 125,WTA 125,Clay,11,Raluka Serban,Anastasia Bertacchi,0.5209,0.5244,0.0035,0.5209,0.0017,9,False,True,hold_diff 0.0035 < 0.01,0.0597,0.0927,0.9073,no,no,no,True
