run_date,match_date,tournament,level,surface,round,player_a,player_b,data_source,p_hold_a,p_hold_b,expected_games,p_raw,p_cal,Chances,fair_odds,recommended
2026-03-15,2026-03-15T16:00-04:00,MIAMI,WTA 1000,Hard,11,Anastasia Zakharova,Lanlana Tararudee,sackmann/tennisabstract,0.9236,0.7267,21.73,0.945,0.7917,79.2%,1.263,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Kimberly Birrell,Viktoriya Tomova,sackmann/sackmann,0.6364,0.5496,23.71,0.6862,0.5908,59.1%,1.6925,False
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Lola Radivojevic,Sinja Kraus,tennisabstract/tennisabstract,0.9583,0.9782,30.27,0.5049,0.5023,50.2%,1.9909,False
2026-03-15,2026-03-15T11:00-07:00,INDIAN WELLS,WTA 1000,Hard,1,Aryna Sabalenka,Elena Rybakina,sackmann/sackmann,0.7408,0.7566,25.06,0.4736,0.4876,48.8%,2.0508,False
2026-03-15,2026-03-15T16:00-04:00,MIAMI,WTA 1000,Hard,11,Bianca Andreescu,Suzan Lamens,sackmann/sackmann,0.5744,0.5884,24.14,0.4723,0.487,48.7%,2.0535,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Katie Volynets,Priscilla Hon,sackmann/sackmann,0.563,0.577,24.11,0.4719,0.4868,48.7%,2.0542,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Renata Zarazua,Martina Trevisan,sackmann/sackmann,0.5827,0.6034,24.19,0.4579,0.4802,48.0%,2.0825,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Storm Hunter,Rebeka Masarova,sackmann/sackmann,0.5933,0.6282,24.22,0.4273,0.4657,46.6%,2.1475,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Erika Andreeva,Rebecca Sramkova,sackmann/sackmann,0.6382,0.6748,24.41,0.4235,0.4638,46.4%,2.1559,False
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Maddison Inglis,Yuliia Starodubtseva,sackmann/sackmann,0.5261,0.5992,23.9,0.3477,0.4267,42.7%,2.3438,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Madison Brengle,Linda Fruhvirtova,sackmann/sackmann,0.514,0.6209,23.5,0.282,0.392,39.2%,2.5508,False
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Lucrezia Stefanini,Diane Parry,sackmann/sackmann,0.5226,0.7059,22.41,0.1553,0.3111,31.1%,3.2149,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Whitney Osuigwe,Donna Vekic,sackmann/sackmann,0.3769,0.7106,19.33,0.0328,0.1694,16.9%,5.9022,False
