run_date,match_date,tournament,level,surface,round,player_a,player_b,data_source,p_hold_a,p_hold_b,expected_games,p_raw,p_cal,Chances,fair_odds,recommended
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Lola Radivojevic,Sinja Kraus,tennisabstract/tennisabstract,0.9583,0.9782,30.27,0.9875,0.9875,98.8%,1.0127,True
2026-03-15,2026-03-15T11:00-07:00,INDIAN WELLS,WTA 1000,Hard,1,Aryna Sabalenka,Elena Rybakina,sackmann/sackmann,0.7408,0.7566,25.06,0.7841,0.7841,78.4%,1.2753,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Erika Andreeva,Rebecca Sramkova,sackmann/sackmann,0.6382,0.6748,24.41,0.7459,0.7459,74.6%,1.3407,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Storm Hunter,Rebeka Masarova,sackmann/sackmann,0.5933,0.6282,24.22,0.7312,0.7312,73.1%,1.3676,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Renata Zarazua,Martina Trevisan,sackmann/sackmann,0.5827,0.6034,24.19,0.7288,0.7288,72.9%,1.3721,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Katie Volynets,Priscilla Hon,sackmann/sackmann,0.563,0.577,24.11,0.7276,0.7276,72.8%,1.3744,True
2026-03-15,2026-03-15T16:00-04:00,MIAMI,WTA 1000,Hard,11,Bianca Andreescu,Suzan Lamens,sackmann/sackmann,0.5744,0.5884,24.14,0.7228,0.7228,72.3%,1.3835,True
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Maddison Inglis,Yuliia Starodubtseva,sackmann/sackmann,0.5261,0.5992,23.9,0.7109,0.7109,71.1%,1.4067,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Kimberly Birrell,Viktoriya Tomova,sackmann/sackmann,0.6364,0.5496,23.71,0.6924,0.6924,69.2%,1.4443,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Madison Brengle,Linda Fruhvirtova,sackmann/sackmann,0.514,0.6209,23.5,0.6841,0.6841,68.4%,1.4618,True
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Lucrezia Stefanini,Diane Parry,sackmann/sackmann,0.5226,0.7059,22.41,0.5999,0.5999,60.0%,1.6669,True
2026-03-15,2026-03-15T16:00-04:00,MIAMI,WTA 1000,Hard,11,Anastasia Zakharova,Lanlana Tararudee,sackmann/tennisabstract,0.9236,0.7267,21.73,0.5452,0.5452,54.5%,1.8342,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Whitney Osuigwe,Donna Vekic,sackmann/sackmann,0.3769,0.7106,19.33,0.3508,0.3508,35.1%,2.8506,False
