run_date,match_date,tournament,level,surface,round,player_a,player_b,data_source,p_hold_a,p_hold_b,expected_games,p_raw,p_cal,Chances,fair_odds,recommended
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Whitney Osuigwe,Donna Vekic,sackmann/sackmann,0.3769,0.7106,19.33,0.6492,0.6492,64.9%,1.5404,True
2026-03-15,2026-03-15T16:00-04:00,MIAMI,WTA 1000,Hard,11,Anastasia Zakharova,Lanlana Tararudee,sackmann/tennisabstract,0.9236,0.7267,21.73,0.4548,0.4548,45.5%,2.1988,False
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Lucrezia Stefanini,Diane Parry,sackmann/sackmann,0.5226,0.7059,22.41,0.4001,0.4001,40.0%,2.4994,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Madison Brengle,Linda Fruhvirtova,sackmann/sackmann,0.514,0.6209,23.5,0.3159,0.3159,31.6%,3.1656,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Kimberly Birrell,Viktoriya Tomova,sackmann/sackmann,0.6364,0.5496,23.71,0.3076,0.3076,30.8%,3.251,False
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Maddison Inglis,Yuliia Starodubtseva,sackmann/sackmann,0.5261,0.5992,23.9,0.2891,0.2891,28.9%,3.459,False
2026-03-15,2026-03-15T16:00-04:00,MIAMI,WTA 1000,Hard,11,Bianca Andreescu,Suzan Lamens,sackmann/sackmann,0.5744,0.5884,24.14,0.2772,0.2772,27.7%,3.6075,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Katie Volynets,Priscilla Hon,sackmann/sackmann,0.563,0.577,24.11,0.2724,0.2724,27.2%,3.6711,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Renata Zarazua,Martina Trevisan,sackmann/sackmann,0.5827,0.6034,24.19,0.2712,0.2712,27.1%,3.6873,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Storm Hunter,Rebeka Masarova,sackmann/sackmann,0.5933,0.6282,24.22,0.2688,0.2688,26.9%,3.7202,False
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Erika Andreeva,Rebecca Sramkova,sackmann/sackmann,0.6382,0.6748,24.41,0.2541,0.2541,25.4%,3.9355,False
2026-03-15,2026-03-15T11:00-07:00,INDIAN WELLS,WTA 1000,Hard,1,Aryna Sabalenka,Elena Rybakina,sackmann/sackmann,0.7408,0.7566,25.06,0.2159,0.2159,21.6%,4.6318,False
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Lola Radivojevic,Sinja Kraus,tennisabstract/tennisabstract,0.9583,0.9782,30.27,0.0125,0.0125,1.2%,80.0,False
