run_date,match_date,tournament,level,surface,round,player_a,player_b,data_source,p_hold_a,p_hold_b,expected_games,p_raw,p_cal,Chances,fair_odds,recommended
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Whitney Osuigwe,Donna Vekic,sackmann/sackmann,0.3769,0.7106,19.33,0.9389,0.9389,93.9%,1.0651,True
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Lucrezia Stefanini,Diane Parry,sackmann/sackmann,0.5226,0.7059,22.41,0.892,0.892,89.2%,1.1211,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Madison Brengle,Linda Fruhvirtova,sackmann/sackmann,0.514,0.6209,23.5,0.8819,0.8819,88.2%,1.1339,True
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Maddison Inglis,Yuliia Starodubtseva,sackmann/sackmann,0.5261,0.5992,23.9,0.8779,0.8779,87.8%,1.139,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Kimberly Birrell,Viktoriya Tomova,sackmann/sackmann,0.6364,0.5496,23.71,0.876,0.876,87.6%,1.1415,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Katie Volynets,Priscilla Hon,sackmann/sackmann,0.563,0.577,24.11,0.8733,0.8733,87.3%,1.1451,True
2026-03-15,2026-03-15T16:00-04:00,MIAMI,WTA 1000,Hard,11,Bianca Andreescu,Suzan Lamens,sackmann/sackmann,0.5744,0.5884,24.14,0.8719,0.8719,87.2%,1.1469,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Renata Zarazua,Martina Trevisan,sackmann/sackmann,0.5827,0.6034,24.19,0.8705,0.8705,87.1%,1.1488,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Storm Hunter,Rebeka Masarova,sackmann/sackmann,0.5933,0.6282,24.22,0.8682,0.8682,86.8%,1.1518,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Erika Andreeva,Rebecca Sramkova,sackmann/sackmann,0.6382,0.6748,24.41,0.8581,0.8581,85.8%,1.1654,True
2026-03-15,2026-03-15T16:00-04:00,MIAMI,WTA 1000,Hard,11,Anastasia Zakharova,Lanlana Tararudee,sackmann/tennisabstract,0.9236,0.7267,21.73,0.823,0.823,82.3%,1.215,True
2026-03-15,2026-03-15T11:00-07:00,INDIAN WELLS,WTA 1000,Hard,1,Aryna Sabalenka,Elena Rybakina,sackmann/sackmann,0.7408,0.7566,25.06,0.8197,0.8197,82.0%,1.22,True
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Lola Radivojevic,Sinja Kraus,tennisabstract/tennisabstract,0.9583,0.9782,30.27,0.3042,0.3042,30.4%,3.287,False
