match_date,league,home_team,away_team,home_goals,away_goals,total_goals,actual_under_4_5,lam_home,lam_away,total_lambda,p_raw,p_cal,fair_odds
2024-07-12,RO1,afc hermannstadt,universitatea craiova,0,0,0,1,0.7986,2.0107,2.8093,0.8462,0.8754,1.1423
2024-07-12,RO1,fc hermannstadt,cs u craiova,0,0,0,1,0.7986,2.0107,2.8093,0.8462,0.8754,1.1423
2024-07-12,RO1,fcv farul,unirea slobozia,0,1,1,1,1.7486,0.7647,2.5133,0.8894,0.8794,1.1372
2024-07-13,RO1,fcsb,u cluj,1,1,2,1,1.2995,1.5779,2.8774,0.8354,0.8746,1.1434
2024-07-13,RO1,uta arad,rapid,1,1,2,1,1.1971,1.5976,2.7947,0.8485,0.8756,1.142
2024-07-13,RO1,uta arad,fc rapid 1923,1,1,2,1,1.1971,1.5976,2.7947,0.8485,0.8756,1.142
2024-07-14,RO1,cfr 1907 cluj,dinamo bucuresti,3,2,5,0,1.387,1.2096,2.5967,0.8779,0.8782,1.1386
2024-07-14,RO1,cfr cluj,fc dinamo,3,2,5,0,1.387,1.2096,2.5967,0.8779,0.8782,1.1386
2024-07-15,RO1,fc botosani,oţelul,2,3,5,0,1.0709,0.8755,1.9464,0.9521,0.8884,1.1257
2024-07-15,RO1,fc botosani,otelul galati,2,3,5,0,1.0709,0.8755,1.9464,0.9521,0.8884,1.1257
2024-07-19,DK1,aarhus gf,midtjylland,1,1,2,1,1.4926,1.6674,3.16,0.7877,0.8219,1.2167
2024-07-19,RO1,unirea slobozia,fcsb,2,2,4,1,1.023,1.8131,2.836,0.842,0.8751,1.1427
2024-07-19,RS1,napredak,fk partizan,0,1,1,1,1.0536,2.789,3.8426,0.6597,0.7388,1.3536
2024-07-19,RS1,napredak,partizan,0,1,1,1,1.0536,2.789,3.8426,0.6597,0.7388,1.3536
2024-07-19,RS1,radnicki 1923,železničar pančevo,2,3,5,0,0.9371,1.0119,1.949,0.9518,0.9081,1.1012
2024-07-19,RS1,radnicki 1923,zelez. pancevo,2,3,5,0,0.9371,1.0119,1.949,0.9518,0.9081,1.1012
2024-07-20,RO1,cs u craiova,uta arad,4,2,6,0,2.2237,0.8135,3.0372,0.809,0.8727,1.1459
2024-07-20,RO1,fc rapid 1923,cfr cluj,2,2,4,1,1.7011,1.2432,2.9443,0.8245,0.8738,1.1445
2024-07-20,RO1,rapid,cfr 1907 cluj,2,2,4,1,1.7011,1.2432,2.9443,0.8245,0.8738,1.1445
2024-07-20,RO1,universitatea craiova,uta arad,4,2,6,0,2.2237,0.8135,3.0372,0.809,0.8727,1.1459
2024-07-20,RS1,cukaricki,radnicki nis,2,0,2,1,1.6269,1.329,2.9559,0.8226,0.819,1.221
2024-07-20,RS1,mladost,ofk beograd,1,2,3,1,0.7021,1.1967,1.8988,0.956,0.9123,1.0962
2024-07-20,RS1,mladost lucani,ofk beograd,1,2,3,1,0.7021,1.1967,1.8988,0.956,0.9123,1.0962
2024-07-20,SW1,fc lugano,grasshoppers,2,1,3,1,1.6845,0.8412,2.5257,0.8877,0.8603,1.1624
2024-07-20,SW1,fc winterthur,fc st. gallen,1,0,1,1,0.9359,2.8161,3.752,0.6773,0.7878,1.2693
2024-07-21,DK1,silkeborg if,sönderjyske,1,0,1,1,0.8586,1.7448,2.6034,0.8769,0.8554,1.169
2024-07-21,DK1,vejle bk,randers fc,2,3,5,0,0.9889,1.2073,2.1962,0.9279,0.8812,1.1349
2024-07-21,DK1,viborg ff,bröndby if,3,3,6,0,1.1301,1.2163,2.3464,0.9107,0.8716,1.1474
2024-07-21,RO1,dinamo bucuresti,petrolul ploiesti,4,1,5,0,1.1918,0.5401,1.7318,0.9683,0.8924,1.1205
2024-07-21,RO1,fc dinamo,petrolul,4,1,5,0,1.1918,0.5401,1.7318,0.9683,0.8924,1.1205
2024-07-21,RO1,u cluj,fc hermannstadt,3,1,4,1,2.4395,0.6456,3.085,0.8008,0.8721,1.1467
2024-07-21,RS1,fk tsc,imt belgrad,1,0,1,1,1.1523,0.7388,1.8912,0.9566,0.9129,1.0954
2024-07-21,RS1,novi pazar,fk spartak zdrepceva krv,3,2,5,0,2.177,0.8192,2.9962,0.8159,0.8154,1.2265
2024-07-21,RS1,novi pazar,spartak,3,2,5,0,2.177,0.8192,2.9962,0.8159,0.8154,1.2265
2024-07-21,RS1,tsc backa topola,imt novi beograd,1,0,1,1,1.1523,0.7388,1.8912,0.9566,0.9129,1.0954
2024-07-21,SW1,fc luzern,servette fc,1,2,3,1,2.5194,1.775,4.2944,0.5716,0.7575,1.3201
2024-07-21,SW1,lausanne-sport,basel,3,2,5,0,1.4363,1.344,2.7803,0.8507,0.8446,1.184
2024-07-21,SW1,young boys,fc sion,1,2,3,1,1.5107,1.4727,2.9834,0.818,0.8323,1.2014
2024-07-22,RO1,otelul galati,fcv farul,0,0,0,1,1.3519,1.0116,2.3635,0.9087,0.8815,1.1344
2024-07-24,SW1,servette fc,young boys,3,1,4,1,2.1105,2.1116,4.2222,0.5855,0.7615,1.3132
2024-07-26,RO1,afc hermannstadt,unirea slobozia,1,1,2,1,1.3855,1.0281,2.4136,0.9024,0.8808,1.1353
2024-07-26,RO1,fc hermannstadt,unirea slobozia,1,1,2,1,1.3855,1.0281,2.4136,0.9024,0.8808,1.1353
2024-07-26,RO1,fcsb,oţelul,0,2,2,1,1.6135,1.1757,2.7892,0.8494,0.8757,1.1419
