league,n,hit_rate,log_loss,brier,p_mean,y_mean
P1,559,0.8748,0.3669,0.1078,0.8763,0.8748
I1,725,0.8566,0.4124,0.123,0.8551,0.8566
N1,596,0.8523,0.4062,0.1227,0.8761,0.8523
RS1,442,0.8507,0.4687,0.1283,0.8824,0.8507
E0,654,0.8486,0.4353,0.1288,0.8638,0.8486
SP1,645,0.8419,0.4356,0.1318,0.8578,0.8419
D1,549,0.8342,0.4556,0.1359,0.8671,0.8342
SA1,567,0.8289,0.458,0.1402,0.8718,0.8289
DK1,231,0.8095,0.5062,0.1577,0.8597,0.8095
F1,557,0.7971,0.5389,0.1644,0.8597,0.7971
RO1,446,0.796,0.5016,0.1613,0.8471,0.796
SW1,289,0.7889,0.5327,0.17,0.8467,0.7889
E1,709,0.7884,0.5537,0.1695,0.8456,0.7884
SP2,603,0.7861,0.5785,0.1743,0.8415,0.7861
I2,540,0.7778,0.6274,0.1819,0.8469,0.7778
D2,398,0.7588,0.6186,0.1943,0.8537,0.7588
